,prompt,class,environment,weather,amount
4944,"

A solitary sailboat anchored in the coastal waters, its sails furled against the snowy gale. The boat bobbed gently in the frothy waves, the snowflakes melting on its deck as they landed.",sailboat,coastal waters,snowy,Single
4945,Two sailboats in the coastal waters under snowy weather.,sailboat,coastal waters,snowy,Two
4946,Three sailboats in the coastal waters under snowy weather.,sailboat,coastal waters,snowy,Three
4947,"

A sailboat anchored in the icy coastal waters, snowflakes gently falling around it, creating a serene and picturesque scene.",sailboat,coastal waters,snowy,Multiple
4948,"

A solitary sailboat cuts through the dense fog on the coastal waters.",sailboat,coastal waters,foggy,Single
4949,Two sailboats in the foggy coastal waters.,sailboat,coastal waters,foggy,Two
4950,Three sailboats in the coastal waters with foggy weather.,sailboat,coastal waters,foggy,Three
4951,"

A sailboat anchored in the foggy coastal waters, its sails rolled up and mast hidden from view.",sailboat,coastal waters,foggy,Multiple
4952,"

A single sailboat in the coastal waters, battling against the windy conditions.",sailboat,coastal waters,windy,Single
4953,Two sailboats in the coastal waters under windy conditions.,sailboat,coastal waters,windy,Two
4954,Three sailboats in the coastal waters under windy conditions.,sailboat,coastal waters,windy,Three
4955,"

A sailboat anchored in the choppy coastal waters, whitecaps forming on the waves as the wind whips up the sea. The sails are furled against the gusts, the boat rocking gently in the swells",sailboat,coastal waters,windy,Multiple
4956,"

A single sailboat anchored in the clear coastal waters, its sails furled and mast still.",sailboat,coastal waters,clear,Single
4957,Two sailboats in clear coastal waters.,sailboat,coastal waters,clear,Two
4958,Three sailboats in clear coastal waters.,sailboat,coastal waters,clear,Three
4959,"

Clear coastal waters, multiple sailboats.",sailboat,coastal waters,clear,Multiple
4960,"

A single sailboat in the bay under a sunny sky.",sailboat,bay,sunny,Single
4961,Two sailboats in a sunny bay.,sailboat,bay,sunny,Two
4962,Three sailboats in a sunny bay.,sailboat,bay,sunny,Three
4963,"

A sunny day in the bay with multiple sailboats anchored.",sailboat,bay,sunny,Multiple
4964,"

A single sailboat in the bay, shrouded by overcast clouds.",sailboat,bay,cloudy,Single
4965,Two sailboats in a bay with cloudy weather.,sailboat,bay,cloudy,Two
4966,Three sailboats in a bay with cloudy weather.,sailboat,bay,cloudy,Three
4967,"

A sailboat with sails furled, anchored in the bay amidst a scattering of other boats. The sky overhead is overcast with thick, grey clouds, casting a muted light over the water. The gentle lapping of",sailboat,bay,cloudy,Multiple
4968,"

A single sailboat in the bay, weathered by rain.",sailboat,bay,rainy,Single
4969,Two sailboats in the bay under rainy weather.,sailboat,bay,rainy,Two
4970,Three sailboats in a bay under rainy weather.,sailboat,bay,rainy,Three
4971,"

A sailboat anchored in the bay, raindrops pounding its deck, sails flapping in the wind.",sailboat,bay,rainy,Multiple
4972,"

A solitary sailboat in the bay, battling against the stormy waves.",sailboat,bay,stormy,Single
4973,Two sailboats in a bay amidst stormy weather.,sailboat,bay,stormy,Two
4974,Three sailboats in a bay amidst stormy weather.,sailboat,bay,stormy,Three
4975,"

A sailboat with tattered sails in the stormy bay.",sailboat,bay,stormy,Multiple
4976,"

A single sailboat in the bay, shrouded in snowfall.",sailboat,bay,snowy,Single
4977,Two sailboats in the bay under snowy weather.,sailboat,bay,snowy,Two
4978,Three sailboats in a bay under snowy weather.,sailboat,bay,snowy,Three
4979,"

A sailboat anchored in the bay, shrouded in a thick blanket of snow. Other sailboats nearby, also encased in the wintery scene. The water frozen, the masts standing still against the backdrop of",sailboat,bay,snowy,Multiple
4980,"

A solitary sailboat in the bay, shrouded by fog.",sailboat,bay,foggy,Single
4981,Two sailboats in the bay shrouded in fog.,sailboat,bay,foggy,Two
4982,Three sailboats in a bay shrouded in fog.,sailboat,bay,foggy,Three
4983,"

A sailboat, shrouded in fog, anchored in the bay.",sailboat,bay,foggy,Multiple
4984,"

A single sailboat in the bay, battling against the windy conditions.",sailboat,bay,windy,Single
4985,Two sailboats in a bay under windy conditions.,sailboat,bay,windy,Two
4986,Three sailboats in a bay under windy conditions.,sailboat,bay,windy,Three
4987,Multiple sailboats in the bay with windy weather.,sailboat,bay,windy,Multiple
4988,"

A single sailboat in the bay with clear weather.",sailboat,bay,clear,Single
4989,Two sailboats in a clear bay.,sailboat,bay,clear,Two
4990,Three sailboats in a clear bay.,sailboat,bay,clear,Three
4991,"

Clear day in the bay, multiple sailboats anchored.",sailboat,bay,clear,Multiple
4992,"

A single sailboat anchored in the clear blue waters of the Gulf, under a sunny sky.",sailboat,gulf,sunny,Single
4993,Two sailboats in the Gulf under a sunny sky.,sailboat,gulf,sunny,Two
4994,Three sailboats in the Gulf under a sunny sky.,sailboat,gulf,sunny,Three
4995,"

A red sailboat anchored in the clear turquoise waters of the Gulf, under a bright and sunny sky.",sailboat,gulf,sunny,Multiple
4996,"

A single sailboat anchored in the gulf, surrounded by choppy waters under an overcast sky. Clouds loom overhead, casting a gray pallor over the scene.",sailboat,gulf,cloudy,Single
4997,Two sailboats in the gulf under cloudy weather.,sailboat,gulf,cloudy,Two
4998,Three sailboats in the gulf under cloudy weather.,sailboat,gulf,cloudy,Three
4999,"

A sailboat anchored in the gulf, surrounded by choppy waters. Clouds loom overhead, casting an eerie gray light on the scene.",sailboat,gulf,cloudy,Multiple
5000,"

A single sailboat anchored in the Gulf, rain pelting its sails and deck, waves crashing against its hull.",sailboat,gulf,rainy,Single
5001,Two sailboats in the gulf during rainy weather.,sailboat,gulf,rainy,Two
5002,Three sailboats in the gulf under rainy weather.,sailboat,gulf,rainy,Three
5003,"

A sailboat anchored in the gulf, rain pouring down, waves crashing against its hull.",sailboat,gulf,rainy,Multiple
5004,"

A single sailboat in the Gulf, battling against the stormy waves.",sailboat,gulf,stormy,Single
5005,Two sailboats in the gulf during a storm.,sailboat,gulf,stormy,Two
5006,Three sailboats in the gulf during a storm.,sailboat,gulf,stormy,Three
5007,"

A sailboat anchored in the gulf, battling against the stormy waves. Rain pounded against the sails and deck, while the wind howled through the rigging. The boat rocked violently, threatening to break",sailboat,gulf,stormy,Multiple
5008,"

A solitary sailboat in the Gulf, battered by snowflakes, its sails limp and frozen against the mast.",sailboat,gulf,snowy,Single
5009,Two sailboats in the gulf under snowy weather.,sailboat,gulf,snowy,Two
5010,Three sailboats in the gulf under snowy weather.,sailboat,gulf,snowy,Three
5011,"

A sailboat anchored in the gulf, surrounded by snow-capped waves.",sailboat,gulf,snowy,Multiple
5012,"

A solitary sailboat in the Gulf, shrouded by fog.",sailboat,gulf,foggy,Single
5013,Two sailboats in the gulf with foggy weather.,sailboat,gulf,foggy,Two
5014,Three sailboats in the gulf with foggy weather.,sailboat,gulf,foggy,Three
5015,"

A sailboat anchored in the gulf, shrouded in fog.",sailboat,gulf,foggy,Multiple
5016,"

A single sailboat in the Gulf, battling against the windy conditions.",sailboat,gulf,windy,Single
5017,Two sailboats in the gulf under windy conditions.,sailboat,gulf,windy,Two
5018,Three sailboats in the gulf under windy conditions.,sailboat,gulf,windy,Three
5019,"

A sailboat anchored in the gulf, waves crashing against its hull as the wind whips up the water, creating whitecaps. The sail is taut, billowing in the wind, while the sails of nearby",sailboat,gulf,windy,Multiple
5020,"

A single sailboat anchored in the clear waters of the Gulf.",sailboat,gulf,clear,Single
5021,Two sailboats in the Gulf with clear weather.,sailboat,gulf,clear,Two
5022,Three sailboats in the Gulf with clear weather.,sailboat,gulf,clear,Three
5023,"

Clear day in the Gulf of Mexico. A red sailboat with white sails anchored in the calm waters.",sailboat,gulf,clear,Multiple
5024,"

A single sailboat anchored in the tranquil estuary under a sunny sky.",sailboat,estuary,sunny,Single
5025,Two sailboats in an estuary under a sunny sky.,sailboat,estuary,sunny,Two
5026,Three sailboats in an estuary under a sunny sky.,sailboat,estuary,sunny,Three
5027,"

A sunny day in the estuary. Multiple sailboats anchored. Their sails are furled, resting peacefully against their masts. The water is calm and reflects the bright sunshine. The surrounding trees cast d",sailboat,estuary,sunny,Multiple
5028,"

A single sailboat anchored in the estuary under cloudy skies.",sailboat,estuary,cloudy,Single
5029,Two sailboats in an estuary under cloudy weather.,sailboat,estuary,cloudy,Two
5030,Three sailboats in an estuary under cloudy weather.,sailboat,estuary,cloudy,Three
5031,"

A sailboat anchored in the estuary, surrounded by murky waters. The sky above was overcast with thick, grey clouds.",sailboat,estuary,cloudy,Multiple
5032,"

A single sailboat anchored in the estuary during a rainy day.",sailboat,estuary,rainy,Single
5033,Two sailboats in an estuary during rainy weather.,sailboat,estuary,rainy,Two
5034,Three sailboats in an estuary during rainy weather.,sailboat,estuary,rainy,Three
5035,"

A sailboat anchored in the estuary, raindrops pounding its deck, sails limp and sodden.",sailboat,estuary,rainy,Multiple
5036,"

A single sailboat anchored in the estuary during a stormy weather.",sailboat,estuary,stormy,Single
5037,Two sailboats in the estuary during a storm.,sailboat,estuary,stormy,Two
5038,Three sailboats in an estuary during a storm.,sailboat,estuary,stormy,Three
5039,"

A sailboat anchored in the estuary, waves crashing against its hull in the stormy weather.",sailboat,estuary,stormy,Multiple
5040,"

A single sailboat anchored in the estuary, its sails furled against the snowy weather.",sailboat,estuary,snowy,Single
5041,Two sailboats in an estuary under snowy weather.,sailboat,estuary,snowy,Two
5042,Three sailboats in an estuary under snowy weather.,sailboat,estuary,snowy,Three
5043,"

A sailboat anchored in the estuary, shrouded in a thick blanket of snow. The surrounding water was frozen, creating an intricate pattern of ice formations on the boat's hull. The sails were lim",sailboat,estuary,snowy,Multiple
5044,"

A single sailboat anchored in the estuary, shrouded in fog.",sailboat,estuary,foggy,Single
5045,Two sailboats in an estuary shrouded in fog.,sailboat,estuary,foggy,Two
5046,Three sailboats in an estuary shrouded in fog.,sailboat,estuary,foggy,Three
5047,"

A sailboat anchored in the estuary, shrouded in fog.",sailboat,estuary,foggy,Multiple
5048,"

A single sailboat anchored in the estuary, battling against the windy conditions.",sailboat,estuary,windy,Single
5049,Two sailboats in an estuary during windy weather.,sailboat,estuary,windy,Two
5050,Three sailboats in an estuary during windy weather.,sailboat,estuary,windy,Three
5051,"

Multiple sailboats in the estuary during a windy day.",sailboat,estuary,windy,Multiple
5052,"

A single sailboat anchored in the calm estuary under a clear sky.",sailboat,estuary,clear,Single
5053,Two sailboats in an estuary under clear skies.,sailboat,estuary,clear,Two
5054,Three sailboats in an estuary under clear skies.,sailboat,estuary,clear,Three
5055,"

Clear day in the estuary, multiple sailboats anchored.",sailboat,estuary,clear,Multiple
5056,"

A single sailboat on a tranquil river under a sunny sky.",sailboat,river,sunny,Single
5057,Two sailboats on a river under a sunny sky.,sailboat,river,sunny,Two
5058,Three sailboats on a tranquil river under a sunny sky.,sailboat,river,sunny,Three
5059,"

A red sailboat anchored in the calm, sunny river, surrounded by clear water and lush greenery. Another two sailboats sailing nearby, their sails billowing in the gentle breeze. The sun casting golden",sailboat,river,sunny,Multiple
5060,"

A single sailboat on a river under cloudy skies.",sailboat,river,cloudy,Single
5061,Two sailboats on a river with cloudy weather.,sailboat,river,cloudy,Two
5062,Three sailboats on a cloudy river.,sailboat,river,cloudy,Three
5063,"

A sailboat anchored in the river, surrounded by foggy clouds.",sailboat,river,cloudy,Multiple
5064,"

A single sailboat anchored in a river, raindrops pounding its deck, sails limp and sodden.",sailboat,river,rainy,Single
5065,Two sailboats in a river during rainy weather.,sailboat,river,rainy,Two
5066,Three sailboats in a river during rain.,sailboat,river,rainy,Three
5067,"

A sailboat anchored in the river, raindrops pounding its deck.",sailboat,river,rainy,Multiple
5068,"

A solitary sailboat anchored in the river, battling against the stormy waves.",sailboat,river,stormy,Single
5069,Two sailboats in a stormy river.,sailboat,river,stormy,Two
5070,Three sailboats on a stormy river.,sailboat,river,stormy,Three
5071,"

A sailboat anchored in the river, waves crashing against its hull in the stormy weather.",sailboat,river,stormy,Multiple
5072,"

A solitary sailboat on a river, shrouded in snowfall.",sailboat,river,snowy,Single
5073,Two sailboats in a river under snowy weather.,sailboat,river,snowy,Two
5074,Three sailboats on a snowy river.,sailboat,river,snowy,Three
5075,"

A sailboat anchored in the river, surrounded by ice floes. Snow falls gently, covering the boat and the surrounding landscape.",sailboat,river,snowy,Multiple
5076,"

A solitary sailboat drifts on the river, shrouded in fog.",sailboat,river,foggy,Single
5077,Two sailboats in a foggy river.,sailboat,river,foggy,Two
5078,Three sailboats in a foggy river.,sailboat,river,foggy,Three
5079,"

A sailboat anchored in the river, shrouded in fog.",sailboat,river,foggy,Multiple
5080,"

A single sailboat on a river, battling against the windy conditions.",sailboat,river,windy,Single
5081,Two sailboats in a river with windy weather.,sailboat,river,windy,Two
5082,Three sailboats in a river with windy weather.,sailboat,river,windy,Three
5083,"

A sailboat anchored in the river, its sails flapping in the wind. Another sailboat nearby, its mast bending with the force of the gusts. The water choppy and white-capped, waves cr",sailboat,river,windy,Multiple
5084,"

A single sailboat on a tranquil river under clear skies.",sailboat,river,clear,Single
5085,Two sailboats in a clear river.,sailboat,river,clear,Two
5086,Three sailboats on a clear river.,sailboat,river,clear,Three
5087,"

Clear day on the river, multiple sailboats anchored.",sailboat,river,clear,Multiple
5088,"

A single sailboat anchored in a tranquil canal under a sunny sky.",sailboat,canal,sunny,Single
5089,Two sailboats in a tranquil canal under a sunny sky.,sailboat,canal,sunny,Two
5090,Three sailboats in a sunny canal.,sailboat,canal,sunny,Three
5091,"

A sailboat anchored in a tranquil canal under a sunny sky.",sailboat,canal,sunny,Multiple
5092,"

A single sailboat anchored in a canal, surrounded by calm water. The sky above is overcast with thick, grey clouds.",sailboat,canal,cloudy,Single
5093,"Two sailboats in a canal, overcast.",sailboat,canal,cloudy,Two
5094,Three sailboats in a canal with cloudy weather.,sailboat,canal,cloudy,Three
5095,"

A sailboat anchored in a canal, surrounded by reflections on the water's surface, under a cloudy sky.",sailboat,canal,cloudy,Multiple
5096,"

A single sailboat anchored in a rain-soaked canal.",sailboat,canal,rainy,Single
5097,Two sailboats in a canal during rainy weather.,sailboat,canal,rainy,Two
5098,Three sailboats in a canal during rainy weather.,sailboat,canal,rainy,Three
5099,"

A sailboat anchored in the rain-soaked canal, umbrellas scattered on its deck. Raindrops cascading from the rigging, reflecting the dim light from the surrounding buildings.",sailboat,canal,rainy,Multiple
5100,"

A single sailboat anchored in a stormy canal, rain pelting its sails and waves crashing against its hull.",sailboat,canal,stormy,Single
5101,Two sailboats in a canal during a storm.,sailboat,canal,stormy,Two
5102,Three sailboats in a canal during a storm.,sailboat,canal,stormy,Three
5103,"

A sailboat anchored in the canal, turbulent waters churning around it as the storm rages on. Rain pelts down in sheets, illuminated by frequent flashes of lightning. The wind howls, whipping",sailboat,canal,stormy,Multiple
5104,"

A single sailboat anchored in a snow-filled canal.",sailboat,canal,snowy,Single
5105,"Two sailboats in a canal, weathered by snow.",sailboat,canal,snowy,Two
5106,Three sailboats in a canal with snowy weather.,sailboat,canal,snowy,Three
5107,"

A sailboat anchored in the canal, surrounded by a thick blanket of snow.",sailboat,canal,snowy,Multiple
5108,"

A single sailboat in the canal, shrouded by fog.",sailboat,canal,foggy,Single
5109,Two sailboats in a canal shrouded in fog.,sailboat,canal,foggy,Two
5110,Three sailboats in a canal shrouded in fog.,sailboat,canal,foggy,Three
5111,"

A sailboat, shrouded in fog, navigating a canal.",sailboat,canal,foggy,Multiple
5112,"

A single sailboat anchored in a narrow canal, billowing sails in the windy conditions.",sailboat,canal,windy,Single
5113,Two sailboats in a canal with windy weather.,sailboat,canal,windy,Two
5114,Three sailboats in a canal with windy weather.,sailboat,canal,windy,Three
5115,"

Multiple sailboats in a canal with windy weather.",sailboat,canal,windy,Multiple
5116,"

A single sailboat anchored in a tranquil canal under a clear sky.",sailboat,canal,clear,Single
5117,Two sailboats in a tranquil canal under clear skies.,sailboat,canal,clear,Two
5118,Three sailboats in a tranquil canal under clear skies.,sailboat,canal,clear,Three
5119,"

Clear day on a narrow canal, multiple sailboats anchored.",sailboat,canal,clear,Multiple
5120,"

A single sailboat on a tranquil lake under a sunny sky.",sailboat,lake,sunny,Single
5121,Two sailboats on a tranquil lake under a sunny sky.,sailboat,lake,sunny,Two
5122,Three sailboats on a tranquil lake under a sunny sky.,sailboat,lake,sunny,Three
5123,"

A sunny day on the lake with multiple sailboats anchored.",sailboat,lake,sunny,Multiple
5124,"

A single sailboat on a cloudy lake.",sailboat,lake,cloudy,Single
5125,Two sailboats on a cloudy lake.,sailboat,lake,cloudy,Two
5126,Three sailboats on a cloudy lake.,sailboat,lake,cloudy,Three
5127,"

A sailboat anchored in the middle of a cloudy lake, surrounded by gentle ripples.",sailboat,lake,cloudy,Multiple
5128,"

A single sailboat on a rain-soaked lake, its sails deflated and drooping, the hull glistening with rainwater.",sailboat,lake,rainy,Single
5129,Two sailboats on a rainy lake.,sailboat,lake,rainy,Two
5130,Three sailboats on a rainy lake.,sailboat,lake,rainy,Three
5131,"

A sailboat anchored in the lake, raindrops pounding its deck, umbrellas raised on the nearby shore.",sailboat,lake,rainy,Multiple
5132,"

A solitary sailboat on a stormy lake, rain pelting its sails and waves crashing against its hull.",sailboat,lake,stormy,Single
5133,Two sailboats on a stormy lake.,sailboat,lake,stormy,Two
5134,Three sailboats on a stormy lake.,sailboat,lake,stormy,Three
5135,"

A sailboat anchored in the lake, waves crashing against its hull in the stormy weather.",sailboat,lake,stormy,Multiple
5136,"

A solitary sailboat on a frozen lake, shrouded in snowfall.",sailboat,lake,snowy,Single
5137,"Two sailboats on a lake, shrouded in snowy weather.",sailboat,lake,snowy,Two
5138,Three sailboats on a snowy lake.,sailboat,lake,snowy,Three
5139,"

A sailboat frozen in the lake under a blanket of snow.",sailboat,lake,snowy,Multiple
5140,"

A solitary sailboat on a lake, shrouded in fog.",sailboat,lake,foggy,Single
5141,Two sailboats in a foggy lake.,sailboat,lake,foggy,Two
5142,Three sailboats in a foggy lake.,sailboat,lake,foggy,Three
5143,"

A sailboat, shrouded in fog, on a tranquil lake.",sailboat,lake,foggy,Multiple
5144,"

A single sailboat on a windy lake, billowing sails catching the gusts.",sailboat,lake,windy,Single
5145,Two sailboats on a lake under windy conditions.,sailboat,lake,windy,Two
5146,Three sailboats on a windy lake.,sailboat,lake,windy,Three
5147,"

A sailboat with tattered sails on a windy lake, waves crashing against its hull.",sailboat,lake,windy,Multiple
5148,"

A single sailboat on a tranquil lake under clear skies.",sailboat,lake,clear,Single
5149,Two sailboats on a clear lake.,sailboat,lake,clear,Two
5150,Three sailboats on a clear lake.,sailboat,lake,clear,Three
5151,"

Clear day on a serene lake. A red sailboat with white sails anchored in the center. Two smaller white sailboats nearby, bobbing gently in the calm water. The sun reflects off the water, creating a sh",sailboat,lake,clear,Multiple
5152,"

A single sailboat anchored in a tranquil lagoon under a sunny sky.",sailboat,lagoon,sunny,Single
5153,Two sailboats in a tranquil lagoon under a sunny sky.,sailboat,lagoon,sunny,Two
5154,Three sailboats in a tranquil lagoon under a sunny sky.,sailboat,lagoon,sunny,Three
5155,"

A sunny day in the lagoon with multiple sailboats anchored.",sailboat,lagoon,sunny,Multiple
5156,"

A single sailboat anchored in a tranquil lagoon, surrounded by crystal-clear water. The sky above is overcast with thick, grey clouds, casting an eerie stillness over the scene. The sailboat'",sailboat,lagoon,cloudy,Single
5157,Two sailboats in a lagoon under cloudy weather.,sailboat,lagoon,cloudy,Two
5158,Three sailboats in a lagoon under cloudy weather.,sailboat,lagoon,cloudy,Three
5159,"

A sailboat anchored in the lagoon, surrounded by calm waters. The sky above is overcast with thick, grey clouds. The sun is hidden, casting a muted light over the scene. The sailboat's s",sailboat,lagoon,cloudy,Multiple
5160,"

A single sailboat in the lagoon during a rainy day. The boat's sails are furled, and raindrops cascade off its deck and rigging. The lagoon's surface is d",sailboat,lagoon,rainy,Single
5161,Two sailboats in a lagoon during rainy weather.,sailboat,lagoon,rainy,Two
5162,Three sailboats in a lagoon during rainy weather.,sailboat,lagoon,rainy,Three
5163,"

A sailboat anchored in the lagoon, raindrops pelt its deck as the sky darkens with clouds.",sailboat,lagoon,rainy,Multiple
5164,"

A solitary sailboat anchored in the tranquil lagoon, its sails furled against the impending storm. Dark clouds loomed overhead, their bellies heavy with rain. The water churned with the approach",sailboat,lagoon,stormy,Single
5165,Two sailboats in a lagoon during a storm.,sailboat,lagoon,stormy,Two
5166,Three sailboats in a lagoon during a storm.,sailboat,lagoon,stormy,Three
5167,"

A sailboat anchored in the lagoon, turbulent waves crashing against its hull as the sky darkens with ominous clouds. The wind howls through the rigging, rain pelting the deck. The once",sailboat,lagoon,stormy,Multiple
5168,"

A solitary sailboat anchored in a tranquil lagoon, its sails furled against the snowy weather. The water around it was calm and still, reflecting the pale, wintry landscape. The boat'",sailboat,lagoon,snowy,Single
5169,Two sailboats in a lagoon under snowy weather.,sailboat,lagoon,snowy,Two
5170,Three sailboats in a lagoon under snowy weather.,sailboat,lagoon,snowy,Three
5171,"

A sailboat anchored in a tranquil lagoon, its sails furled against the cold, as snowflakes gently dance upon the water's surface.",sailboat,lagoon,snowy,Multiple
5172,"

A solitary sailboat floats in the tranquil lagoon, shrouded in the dense fog that envelops the water. The boat's sails are furled, and its mast stands tall against the mist",sailboat,lagoon,foggy,Single
5173,Two sailboats in a lagoon shrouded in fog.,sailboat,lagoon,foggy,Two
5174,Three sailboats in a lagoon shrouded in fog.,sailboat,lagoon,foggy,Three
5175,"

A sailboat, shrouded in fog, drifts alone in the lagoon.",sailboat,lagoon,foggy,Multiple
5176,"

A single sailboat anchored in a turquoise lagoon, its sails taut against the wind. The water around it is choppy, with white-capped waves crashing against the boat's hull.",sailboat,lagoon,windy,Single
5177,Two sailboats in a lagoon under windy conditions.,sailboat,lagoon,windy,Two
5178,Three sailboats in a lagoon under windy conditions.,sailboat,lagoon,windy,Three
5179,"

A sailboat with tattered sails in a lagoon during a windy day.",sailboat,lagoon,windy,Multiple
5180,"

A single sailboat anchored in a crystal-clear lagoon under a cloudless sky.",sailboat,lagoon,clear,Single
5181,Two sailboats in a tranquil lagoon under clear skies.,sailboat,lagoon,clear,Two
5182,Three sailboats in a tranquil lagoon under clear skies.,sailboat,lagoon,clear,Three
5183,"

A sailboat anchored in a crystal-clear lagoon, surrounded by turquoise water and vibrant coral reefs. The sun is setting, casting a warm glow over the scene. The gentle breeze rustles the",sailboat,lagoon,clear,Multiple
5184,"

A single sailboat anchored in a sunlit fjord.",sailboat,fjord,sunny,Single
5185,Two sailboats in a fjord under sunny weather.,sailboat,fjord,sunny,Two
5186,Three sailboats in a sunny fjord.,sailboat,fjord,sunny,Three
5187,"

A sunny day in the fjord with multiple sailboats anchored.",sailboat,fjord,sunny,Multiple
5188,"

A single sailboat anchored in a fjord under cloudy skies.",sailboat,fjord,cloudy,Single
5189,Two sailboats in a fjord under cloudy weather.,sailboat,fjord,cloudy,Two
5190,Three sailboats in a fjord under cloudy weather.,sailboat,fjord,cloudy,Three
5191,"

A sailboat anchored in the fjord, surrounded by misty clouds.",sailboat,fjord,cloudy,Multiple
5192,"

A single sailboat anchored in a fjord during rainy weather.",sailboat,fjord,rainy,Single
5193,Two sailboats in a fjord during rainy weather.,sailboat,fjord,rainy,Two
5194,Three sailboats in a fjord during rainy weather.,sailboat,fjord,rainy,Three
5195,"

A sailboat anchored in the fjord, raindrops pounding its deck. Other sailboats huddled nearby, their sails furled against the storm. The gray sky loomed overhead, reflecting in the",sailboat,fjord,rainy,Multiple
5196,"

A single sailboat anchored in the fjord during a stormy weather.",sailboat,fjord,stormy,Single
5197,Two sailboats in a fjord during a storm.,sailboat,fjord,stormy,Two
5198,Three sailboats in a fjord during a storm.,sailboat,fjord,stormy,Three
5199,"

A sailboat anchored in the fjord, waves crashing against its hull in the stormy weather.",sailboat,fjord,stormy,Multiple
5200,"

A single sailboat anchored in a fjord, its sails furled against the snowy weather.",sailboat,fjord,snowy,Single
5201,Two sailboats in a fjord under snowy weather.,sailboat,fjord,snowy,Two
5202,Three sailboats in a fjord under snowy weather.,sailboat,fjord,snowy,Three
5203,"

A sailboat anchored in the fjord, its sails furled against the snowy weather. Other sailboats dot the landscape, their masts standing tall against the white backdrop. Snowflakes gently fall onto the",sailboat,fjord,snowy,Multiple
5204,"

A solitary sailboat anchored in the fjord, shrouded in fog.",sailboat,fjord,foggy,Single
5205,Two sailboats in a fjord shrouded in fog.,sailboat,fjord,foggy,Two
5206,Three sailboats in a fjord shrouded in fog.,sailboat,fjord,foggy,Three
5207,"

A sailboat anchored in the fjord, shrouded in fog.",sailboat,fjord,foggy,Multiple
5208,"

A single sailboat anchored in a fjord, its sails furled against the windy conditions.",sailboat,fjord,windy,Single
5209,Two sailboats in a fjord during windy weather.,sailboat,fjord,windy,Two
5210,Three sailboats in a fjord during windy weather.,sailboat,fjord,windy,Three
5211,"

A sailboat anchored in the fjord, its sails furled against the wind. Several other sailboats bob up and down nearby, their masts swaying in the gusts. The water is choppy,",sailboat,fjord,windy,Multiple
5212,"

A single sailboat anchored in a clear fjord.",sailboat,fjord,clear,Single
5213,Two sailboats in a fjord with clear weather.,sailboat,fjord,clear,Two
5214,Three sailboats in a clear fjord.,sailboat,fjord,clear,Three
5215,"

Clear day in the fjord, multiple sailboats anchored.",sailboat,fjord,clear,Multiple
5216,"

A single sailboat anchored in the calm delta under a clear, sunny sky.",sailboat,delta,sunny,Single
5217,Two sailboats in the delta under sunny weather.,sailboat,delta,sunny,Two
5218,Three sailboats in the delta under sunny weather.,sailboat,delta,sunny,Three
5219,"

A red sailboat anchored in the calm delta water under a sunny sky.",sailboat,delta,sunny,Multiple
5220,"

A single sailboat anchored in the delta, surrounded by calm waters. The sky above is overcast with thick, grey clouds, casting a muted light over the scene. The sailboat's sails are furled, its",sailboat,delta,cloudy,Single
5221,Two sailboats in the delta under cloudy weather.,sailboat,delta,cloudy,Two
5222,Three sailboats in the delta under cloudy weather.,sailboat,delta,cloudy,Three
5223,"

A sailboat anchored in the delta, surrounded by murky waters. The sky above was overcast with thick, grey clouds.",sailboat,delta,cloudy,Multiple
5224,"

A single sailboat anchored in the delta, raindrops pounding its deck, sails limp and sodden.",sailboat,delta,rainy,Single
5225,Two sailboats in the delta under rainy weather.,sailboat,delta,rainy,Two
5226,Three sailboats in the delta under rainy weather.,sailboat,delta,rainy,Three
5227,"

A sailboat anchored in the delta, raindrops pounding its deck, sails limp and sodden.",sailboat,delta,rainy,Multiple
5228,"

A single sailboat anchored in the delta, battening down hatches against the stormy weather.",sailboat,delta,stormy,Single
5229,Two sailboats in the delta amidst stormy weather.,sailboat,delta,stormy,Two
5230,Three sailboats in the delta amidst stormy weather.,sailboat,delta,stormy,Three
5231,"

A sailboat anchored in the delta, battening down hatches as dark clouds gather on the horizon. Rain begins to pelt the deck, waves crash against the hull. The wind howls through the rigging, tearing",sailboat,delta,stormy,Multiple
5232,"

A single sailboat anchored in the delta, shrouded in a thick blanket of snow.",sailboat,delta,snowy,Single
5233,Two sailboats in the delta under snowy weather.,sailboat,delta,snowy,Two
5234,Three sailboats in the delta with snowy weather.,sailboat,delta,snowy,Three
5235,"

A sailboat anchored in the delta, shrouded in a thick blanket of snow. The surrounding water was frozen, creating an eerie stillness. The sails were limp and lifeless, hanging like white flags against the",sailboat,delta,snowy,Multiple
5236,"

A single sailboat anchored in the delta, shrouded in fog.",sailboat,delta,foggy,Single
5237,Two sailboats in the delta with foggy weather.,sailboat,delta,foggy,Two
5238,Three sailboats in the delta with foggy weather.,sailboat,delta,foggy,Three
5239,"

A sailboat anchored in the delta, shrouded in fog.",sailboat,delta,foggy,Multiple
5240,"

A single sailboat anchored in the delta, billowing sails against the windy conditions.",sailboat,delta,windy,Single
5241,Two sailboats in the delta under windy conditions.,sailboat,delta,windy,Two
5242,Three sailboats in the delta with windy weather.,sailboat,delta,windy,Three
5243,"

A sailboat anchored in the delta, billowing sails against the windy backdrop.",sailboat,delta,windy,Multiple
5244,"

A single sailboat anchored in the clear delta waters.",sailboat,delta,clear,Single
