prompt,class,environment,style,amount
"A sleek, flat-screen television in a modern living room.",television,living room,modern,Single
Two televisions in a modern living room.,television,living room,modern,Two
Three televisions in a modern living room.,television,living room,modern,Three
"A living room with a modern style, featuring a large television on the wall.",television,living room,modern,Multiple
"

Minimalist living room with a single television on the wall.",television,living room,minimalist,Single
Two televisions in a minimalist living room.,television,living room,minimalist,Two
Three televisions in a minimalist living room.,television,living room,minimalist,Three
"

Minimalist living room with a large television on the wall.",television,living room,minimalist,Multiple
"

A living room with a rustic decor, featuring a large, wooden television cabinet housing a single television.",television,living room,rustic,Single
Two televisions in a living room with a rustic style.,television,living room,rustic,Two
Three televisions in a rustic living room.,television,living room,rustic,Three
"

A living room with a rustic theme, featuring a large, wooden television cabinet housing a television.",television,living room,rustic,Multiple
"

Living room with industrial style: television with exposed metal frame and concrete base.",television,living room,industrial,Single
Two industrial-style televisions in the living room.,television,living room,industrial,Two
Three industrial-style televisions in the living room.,television,living room,industrial,Three
"

Living room with industrial style: large television mounted on exposed brick wall.",television,living room,industrial,Multiple
"

Luxury living room with a large, elegant television on a sleek, wooden console.",television,living room,luxury,Single
Two televisions in a luxurious living room.,television,living room,luxury,Two
Three televisions in a luxurious living room.,television,living room,luxury,Three
"

A living room adorned with plush velvet furnishings and gold accents, featuring a large, luxurious television mounted on the wall.",television,living room,luxury,Multiple
"

Living room with a vintage aesthetic. A wooden television cabinet holds a television with rounded edges and a retro dial.",television,living room,vintage,Single
Two vintage televisions in the living room.,television,living room,vintage,Two
Three vintage televisions in the living room.,television,living room,vintage,Three
"

Living room with a vintage aesthetic, featuring a large, wooden television cabinet housing a television with a retro tube design.",television,living room,vintage,Multiple
"

A single television in a living room with a Scandinavian style.",television,living room,scandinavian,Single
Two televisions in a Scandinavian living room.,television,living room,scandinavian,Two
Three televisions in a Scandinavian living room.,television,living room,scandinavian,Three
"

A living room featuring a Scandinavian design with a wooden television cabinet and a large television mounted on the wall.",television,living room,scandinavian,Multiple
"

A living room cluttered with books, papers, and knick-knacks. In the center, a worn-out television with cables tangled around it.",television,living room,messy,Single
Two televisions in a cluttered living room.,television,living room,messy,Two
Three televisions in a cluttered living room.,television,living room,messy,Three
"

A living room cluttered with books, papers, and knick-knacks. A television sits in the corner, its screen reflecting the chaos around it.",television,living room,messy,Multiple
"

A sleek, single television in a clutter-free living room.",television,living room,clean,Single
Two televisions in a clean living room.,television,living room,clean,Two
Three televisions in a clean living room.,television,living room,clean,Three
"

A living room with a clean design, featuring a large television mounted on the wall.",television,living room,clean,Multiple
"A living room with a rustic decor, featuring a large, wooden television cabinet housing a single television.",television,living room,cozy,Single
Two televisions in a cozy living room.,television,living room,cozy,Two
Three televisions in a cozy living room.,television,living room,cozy,Three
"

A living room with a warm color palette and plush seating. A television mounted on a wood-paneled wall, surrounded by shelves filled with books and knick-knacks. A cozy rug underfoot and a fire",television,living room,cozy,Multiple
A modern style bedroom with a single television on the wall.,television,bedroom,modern,Single
Two televisions in a modern bedroom.,television,bedroom,modern,Two
Three televisions in a modern bedroom.,television,bedroom,modern,Three
A modern style bedroom with a television on the dresser.,television,bedroom,modern,Multiple
Minimalist style bedroom with a single television on the wall.,television,bedroom,minimalist,Single
Two televisions in a minimalist bedroom.,television,bedroom,minimalist,Two
Three televisions in a minimalist bedroom.,television,bedroom,minimalist,Three
"

Minimalist bedroom with a large television on the wall.",television,bedroom,minimalist,Multiple
Rustic bedroom with a wooden television.,television,bedroom,rustic,Single
Two rustic style televisions in the bedroom.,television,bedroom,rustic,Two
Three televisions in a rustic bedroom.,television,bedroom,rustic,Three
Rustic bedroom with a wooden television cabinet.,television,bedroom,rustic,Multiple
Industrial style bedroom with a single television.,television,bedroom,industrial,Single
Two industrial style televisions in the bedroom.,television,bedroom,industrial,Two
Three industrial style televisions in the bedroom.,television,bedroom,industrial,Three
"

Industrial style bedroom with a large television on the wall.",television,bedroom,industrial,Multiple
"A large, elegant television set in a sumptuous bedroom.",television,bedroom,luxury,Single
Two luxury televisions in the bedroom.,television,bedroom,luxury,Two
Three televisions in a bedroom with a luxurious design.,television,bedroom,luxury,Three
"A large, elegant television set in a sumptuous bedroom with plush velvet furnishings and a golden accent lighting.",television,bedroom,luxury,Multiple
"

A vintage television set in the bedroom.",television,bedroom,vintage,Single
Two vintage televisions in the bedroom.,television,bedroom,vintage,Two
Three vintage televisions on a wooden dresser in a bedroom.,television,bedroom,vintage,Three
"

A vintage-style bedroom with a wooden television cabinet and a tube television inside.",television,bedroom,vintage,Multiple
A single television with a scandinavian design in the bedroom.,television,bedroom,scandinavian,Single
Two televisions in a Scandinavian-style bedroom.,television,bedroom,scandinavian,Two
Three televisions in a Scandinavian-style bedroom.,television,bedroom,scandinavian,Three
"

A Scandinavian-style bedroom with a wooden television cabinet and a flat-screen television mounted on the wall.",television,bedroom,scandinavian,Multiple
"A bedroom with a messy style, a worn-out quilt on the bed, and a cluttered nightstand. A television on the wall, wires tangled and exposed.",television,bedroom,messy,Single
Two televisions in a messy bedroom.,television,bedroom,messy,Two
Three televisions in a messy bedroom.,television,bedroom,messy,Three
"

A bedroom cluttered with books and knick-knacks, a television in the corner.",television,bedroom,messy,Multiple
"A single, clean-lined television on a minimalist bedroom dresser.",television,bedroom,clean,Single
Two televisions in a clean bedroom.,television,bedroom,clean,Two
Three televisions in a clean bedroom.,television,bedroom,clean,Three
A clean-styled bedroom with a television on the wall.,television,bedroom,clean,Multiple
"A single television with a wooden frame and a plush, quilted cover in a cozy bedroom.",television,bedroom,cozy,Single
Two televisions in a cozy bedroom setting.,television,bedroom,cozy,Two
Three televisions in a cozy bedroom setting.,television,bedroom,cozy,Three
A bedroom with a cozy fireplace and a large television on the wooden wall.,television,bedroom,cozy,Multiple
"

A single television with a modern design in the kitchen.",television,kitchen,modern,Single
A modern style kitchen with two televisions.,television,kitchen,modern,Two
Three televisions in a contemporary kitchen design.,television,kitchen,modern,Three
"

A sleek television mounted on a modern kitchen backsplash.",television,kitchen,modern,Multiple
"

Minimalist kitchen design with a single television mounted on a clean, white wall.",television,kitchen,minimalist,Single
A minimalist kitchen with two televisions.,television,kitchen,minimalist,Two
Three televisions in a minimalist kitchen design.,television,kitchen,minimalist,Three
Minimalist kitchen design with a television integrated into the cabinetry.,television,kitchen,minimalist,Multiple
"

A rustic-style kitchen with a large, wooden television cabinet housing a single television.",television,kitchen,rustic,Single
Two televisions in a kitchen with a rustic style.,television,kitchen,rustic,Two
Three televisions with rustic style in the kitchen.,television,kitchen,rustic,Three
"

A rustic kitchen with a large wooden table and exposed brick walls. In one corner, a television mounted on the wall, surrounded by reclaimed wood panels.",television,kitchen,rustic,Multiple
"

A single industrial-style television mounted on a kitchen backsplash.",television,kitchen,industrial,Single
Two industrial-style televisions in the kitchen.,television,kitchen,industrial,Two
Three industrial-style televisions in the kitchen.,television,kitchen,industrial,Three
"

A kitchen with an industrial theme, featuring a large television mounted on a brick wall.",television,kitchen,industrial,Multiple
"

A sleek, 65-inch smart TV with a frameless design, integrated into a custom-built, high-gloss cabinetry, complete with concealed storage and ambient lighting, in a contemporary kitchen.",television,kitchen,luxury,Single
"A pair of high-end televisions integrated into a sleek, custom-designed kitchen cabinetry.",television,kitchen,luxury,Two
Three televisions in a kitchen with a luxury design.,television,kitchen,luxury,Three
"

A sleek, large-screen television integrated into a custom-designed, high-gloss cabinetry unit in the kitchen, surrounded by marble countertops and backsplash.",television,kitchen,luxury,Multiple
"

A vintage television set in the kitchen, integrated into a rustic cabinet design.",television,kitchen,vintage,Single
A vintage style kitchen with two televisions.,television,kitchen,vintage,Two
Three vintage televisions on a kitchen shelf.,television,kitchen,vintage,Three
"

A vintage television set in the heart of a kitchen, surrounded by rustic cabinets and aged tiles.",television,kitchen,vintage,Multiple
"

A single television with a Scandinavian design in the kitchen.",television,kitchen,scandinavian,Single
"

Two televisions in a kitchen with a Scandinavian style.",television,kitchen,scandinavian,Two
Three televisions in a kitchen with a Scandinavian style.,television,kitchen,scandinavian,Three
"

A Scandinavian-style kitchen with a television mounted on a white brick wall.",television,kitchen,scandinavian,Multiple
"

A television with wires and cords exposed, mounted on a messy kitchen backsplash.",television,kitchen,messy,Single
"

Two televisions in a kitchen with a messy style.",television,kitchen,messy,Two
Three televisions in a kitchen with a messy style.,television,kitchen,messy,Three
"

A cluttered kitchen with a worn-out television mounted on the wall. Cabinets and countertops covered in food stains and spills. A stack of dishes piled high in the sink. The television screen flickers",television,kitchen,messy,Multiple
"

A single television with a sleek, minimalist design in a clean kitchen setting.",television,kitchen,clean,Single
Two televisions in a clean-styled kitchen.,television,kitchen,clean,Two
Three televisions in a clean-styled kitchen.,television,kitchen,clean,Three
"

A sleek television integrated into a modern kitchen backsplash.",television,kitchen,clean,Multiple
"

A single television with a vintage, rustic design in a warm and inviting kitchen setting.",television,kitchen,cozy,Single
"A kitchen with a warm and inviting atmosphere, featuring two televisions with a cozy style.",television,kitchen,cozy,Two
Three televisions in a kitchen with a cozy style.,television,kitchen,cozy,Three
"

A kitchen with a rustic, cozy feel. A wooden table with a checkered tablecloth. A television mounted on a distressed wood wall, surrounded by exposed brick. A plush armchair and a cozy rug nearby",television,kitchen,cozy,Multiple
A single television with a modern design in a bathroom setting.,television,bathroom,modern,Single
Two televisions in a modern bathroom.,television,bathroom,modern,Two
Three televisions in a contemporary bathroom design.,television,bathroom,modern,Three
"A bathroom with a modern style, featuring a television mounted on the wall.",television,bathroom,modern,Multiple
Minimalist bathroom with a single television on the wall.,television,bathroom,minimalist,Single
Two televisions in a minimalist bathroom.,television,bathroom,minimalist,Two
Three televisions in a minimalist bathroom design.,television,bathroom,minimalist,Three
Minimalist bathroom with a single television on the wall.,television,bathroom,minimalist,Multiple
Rustic bathroom with a vintage television.,television,bathroom,rustic,Single
Two rustic style televisions in a bathroom.,television,bathroom,rustic,Two
Three televisions with rustic style in a bathroom.,television,bathroom,rustic,Three
Rustic bathroom with a large wooden cabinet housing a television.,television,bathroom,rustic,Multiple
"

Bathroom with industrial design: television mounted on brick wall.",television,bathroom,industrial,Single
Two industrial-style televisions in a bathroom.,television,bathroom,industrial,Two
Three industrial-style televisions in a bathroom.,television,bathroom,industrial,Three
"

Bathroom with industrial style: television mounted on brick wall.",television,bathroom,industrial,Multiple
"

A sleek, marble-clad television mounted on a gold-plated wall bracket in a spacious, tiled bathroom with a lavish design.",television,bathroom,luxury,Single
Two televisions in a bathroom with a luxurious design.,television,bathroom,luxury,Two
Three televisions in a bathroom with a luxurious design.,television,bathroom,luxury,Three
"

A large, flat-screen television mounted on a tiled wall in a spacious, marble-clad bathroom with a freestanding tub and gold fixtures.",television,bathroom,luxury,Multiple
"

A vintage television set in a bathroom with retro tiles and a clawfoot tub.",television,bathroom,vintage,Single
Two vintage televisions in a bathroom setting.,television,bathroom,vintage,Two
Three vintage televisions in a bathroom setting.,television,bathroom,vintage,Three
"

A vintage bathroom with a clawfoot tub, hexagonal floor tiles, and a shelf displaying antique bottles. A television, its wooden cabinet adorned with intricate carvings, hangs on the wall above the tub",television,bathroom,vintage,Multiple
"

A single television with a Scandinavian design in a bathroom setting.",television,bathroom,scandinavian,Single
Two televisions in a Scandinavian-style bathroom.,television,bathroom,scandinavian,Two
Three televisions in a Scandinavian-style bathroom.,television,bathroom,scandinavian,Three
"

A bathroom adorned with Scandinavian decor, featuring a television mounted on a tiled wall.",television,bathroom,scandinavian,Multiple
"

A bathroom adorned with peeling wallpaper, cluttered with towels and toiletries. A single television, its screen cracked and covered in dust, hangs precariously on the tiled wall.",television,bathroom,messy,Single
Two televisions in a messy bathroom.,television,bathroom,messy,Two
Three televisions in a cluttered bathroom.,television,bathroom,messy,Three
"

A bathroom adorned with peeling wallpaper, cluttered with towels and toiletries. A television, its screen cracked, hangs precariously on the tiled wall.",television,bathroom,messy,Multiple
A single television with a clean design in a bathroom setting.,television,bathroom,clean,Single
Two televisions in a clean-styled bathroom.,television,bathroom,clean,Two
Three televisions in a clean bathroom design.,television,bathroom,clean,Three
"

A bathroom with a sleek, minimalist design. A television mounted on the wall, integrated seamlessly into the decor. The tile floor and glass shower enclosure reflect the clean lines of the television, creating a cohesive and modern",television,bathroom,clean,Multiple
"A single television in a bathroom with a rustic, cozy style.",television,bathroom,cozy,Single
Two televisions in a bathroom with a cozy style.,television,bathroom,cozy,Two
Three televisions in a cozy bathroom with a vintage feel.,television,bathroom,cozy,Three
A bathtub surrounded by tiles with a vintage television mounted on the wall.,television,bathroom,cozy,Multiple
A single television with a modern design in the dining room.,television,dining room,modern,Single
Two televisions in a dining room with a modern style.,television,dining room,modern,Two
Three televisions in a contemporary dining room.,television,dining room,modern,Three
"A dining room with a modern style, featuring a television on the wall.",television,dining room,modern,Multiple
"

A single television with a minimalist design in the dining room.",television,dining room,minimalist,Single
Two televisions in a dining room with a minimalist style.,television,dining room,minimalist,Two
Three televisions in a minimalist dining room.,television,dining room,minimalist,Three
Minimalist dining room with a large television on the wall.,television,dining room,minimalist,Multiple
"

A single television with a rustic style in the dining room.",television,dining room,rustic,Single
Two televisions with rustic style in the dining room.,television,dining room,rustic,Two
Three televisions with rustic style in the dining room.,television,dining room,rustic,Three
"

A dining room adorned with rustic decor, featuring a large, wooden television cabinet housing a television.",television,dining room,rustic,Multiple
"

A single industrial-style television in the dining room.",television,dining room,industrial,Single
Two industrial-style televisions in the dining room.,television,dining room,industrial,Two
Three industrial-style televisions in the dining room.,television,dining room,industrial,Three
"

A dining room featuring an industrial style television mounted on a brick wall.",television,dining room,industrial,Multiple
"

A sleek, large-screen television with a polished wooden frame and gold accents, mounted on a dark, textured wall in a dining room with plush, velvet seating and a chandelier overhead.",television,dining room,luxury,Single
"A dining room adorned with elegant decor, featuring two televisions with a luxurious design.",television,dining room,luxury,Two
Three televisions in a luxurious dining room.,television,dining room,luxury,Three
"A large, flat-screen television mounted on a luxurious, dark wood wall unit in the dining room.",television,dining room,luxury,Multiple
"

A vintage television set in the dining room.",television,dining room,vintage,Single
Two vintage televisions in the dining room.,television,dining room,vintage,Two
Three vintage televisions in the dining room.,television,dining room,vintage,Three
"

A vintage television set in the dining room.",television,dining room,vintage,Multiple
"

A single television with a Scandinavian design in the dining room.",television,dining room,scandinavian,Single
Two televisions in a dining room with a Scandinavian style.,television,dining room,scandinavian,Two
Three televisions in a dining room with a Scandinavian style.,television,dining room,scandinavian,Three
"

A dining room adorned with Scandinavian decor, featuring a wooden table and benches, and a television on the wall.",television,dining room,scandinavian,Multiple
"

A dining room with a messy style, featuring a large, old television set at its heart. The screen is covered in dust and the wires are tangled, adding to the disarray. The room is dimly lit, with",television,dining room,messy,Single
Two televisions in a messy dining room.,television,dining room,messy,Two
Three televisions in a messy dining room.,television,dining room,messy,Three
"

A dining room with a messy style, cluttered table, and a large television mounted on the wall.",television,dining room,messy,Multiple
"

A single television with a clean design in the dining room.",television,dining room,clean,Single
Two televisions in a clean dining room.,television,dining room,clean,Two
Three televisions in a clean dining room.,television,dining room,clean,Three
"A dining room with a clean style, featuring a television on the wall.",television,dining room,clean,Multiple
A single television in a cozy dining room with a rustic decor.,television,dining room,cozy,Single
Two televisions in a cozy dining room.,television,dining room,cozy,Two
Three televisions in a cozy dining room.,television,dining room,cozy,Three
"A dining room with a cozy style, featuring a wooden table and plush chairs, and a television mounted on a brick wall.",television,dining room,cozy,Multiple
Modern style garage with a television.,television,garage,modern,Single
Two televisions in a modern garage.,television,garage,modern,Two
Three televisions in a modern garage.,television,garage,modern,Three
"

A television with a modern design in the garage.",television,garage,modern,Multiple
Minimalist style garage with a single television on the wall.,television,garage,minimalist,Single
Two televisions in a minimalist garage.,television,garage,minimalist,Two
Three televisions in a minimalist garage.,television,garage,minimalist,Three
"

Minimalist style garage with a television mounted on the wall.",television,garage,minimalist,Multiple
"

A rustic garage with a weathered wooden shelf holding a television.",television,garage,rustic,Single
Two televisions in a garage with a rustic style.,television,garage,rustic,Two
Three television sets in a garage with a rustic style.,television,garage,rustic,Three
"

A rustic garage with a worn wooden shelf holding a television.",television,garage,rustic,Multiple
"

A television with an industrial design in a garage setting.",television,garage,industrial,Single
Two industrial-style televisions in a garage.,television,garage,industrial,Two
Three industrial-style televisions in a garage.,television,garage,industrial,Three
"

Garage with industrial style: Television mounted on brick wall, wires exposed.",television,garage,industrial,Multiple
"

A sleek, black television with gold accents, mounted on a textured brick wall in a garage-turned-luxury-media-room.",television,garage,luxury,Single
Two luxury televisions in a garage.,television,garage,luxury,Two
Three televisions in a garage with a luxury design.,television,garage,luxury,Three
"

A high-end television mounted on a sleek, custom-built wooden wall unit in a garage with plush seating and warm lighting.",television,garage,luxury,Multiple
"

A vintage television set in a cluttered garage.",television,garage,vintage,Single
Two vintage televisions in a garage.,television,garage,vintage,Two
Three vintage televisions in a garage.,television,garage,vintage,Three
"

A vintage television set in a cluttered garage.",television,garage,vintage,Multiple
"

A single television in a garage with a Scandinavian design.",television,garage,scandinavian,Single
Two televisions in a garage with a Scandinavian style.,television,garage,scandinavian,Two
Three televisions in a garage with a Scandinavian style.,television,garage,scandinavian,Three
"

A Scandinavian-style garage with a wooden television cabinet and a mounted television on the wall.",television,garage,scandinavian,Multiple
"

Television in a cluttered garage with tools and boxes surrounding it.",television,garage,messy,Single
Two televisions in a cluttered garage.,television,garage,messy,Two
Three televisions in a cluttered garage.,television,garage,messy,Three
"

Garage cluttered with tools and boxes, a television set among the chaos.",television,garage,messy,Multiple
"

A clean, clutter-free garage with a single television mounted on the wall.",television,garage,clean,Single
Two televisions in a clean garage.,television,garage,clean,Two
Three televisions in a tidy garage.,television,garage,clean,Three
"

Garage with a clean style, television mounted on the wall.",television,garage,clean,Multiple
"

A television in a garage with a rustic, cozy atmosphere. Perhaps surrounded by stacked firewood, a plush rug, and warm lighting.",television,garage,cozy,Single
Two televisions in a garage with a cozy style.,television,garage,cozy,Two
Three televisions in a cozy garage setting.,television,garage,cozy,Three
"

A garage transformed into a cozy den with a vintage television on a wooden shelf.",television,garage,cozy,Multiple
"A sleek, flat-screen television in a contemporary home office.",television,home office,modern,Single
Two televisions in a home office with a modern style.,television,home office,modern,Two
Three televisions in a contemporary home office.,television,home office,modern,Three
"

A home office with a modern style, featuring a large television on the wall.",television,home office,modern,Multiple
"

Minimalist home office with a single television on the wall.",television,home office,minimalist,Single
Two televisions in a home office with a minimalist style.,television,home office,minimalist,Two
Three televisions in a minimalist home office.,television,home office,minimalist,Three
"

Minimalist home office with a single television on the wall.",television,home office,minimalist,Multiple
"

A rustic home office with a wooden television stand, featuring a single television mounted on the wall, surrounded by natural textures such as exposed brick or stone.",television,home office,rustic,Single
Two televisions in a home office with a rustic style.,television,home office,rustic,Two
Three televisions in a home office with a rustic style.,television,home office,rustic,Three
"

A home office with a rustic style, featuring a wooden television cabinet and a large television mounted on the wall.",television,home office,rustic,Multiple
"

A industrial-style home office with a large television on the wall.",television,home office,industrial,Single
Two industrial-style televisions in a home office.,television,home office,industrial,Two
Three industrial-style televisions in a home office.,television,home office,industrial,Three
Home office with an industrial style. A large television mounted on a brick wall.,television,home office,industrial,Multiple
"

A sleek, large-screen television with a polished wooden frame and gold accents, mounted on a textured brick wall in a sophisticated home office.",television,home office,luxury,Single
Two televisions in a home office with a luxury style.,television,home office,luxury,Two
Three televisions in a home office with a luxury style.,television,home office,luxury,Three
"

A home office adorned with plush velvet armchairs and a luxurious area rug, featuring a large, flat-screen television mounted on the wall.",television,home office,luxury,Multiple
"

A vintage television set in a home office.",television,home office,vintage,Single
Two vintage televisions in a home office.,television,home office,vintage,Two
Three vintage televisions in a home office setting.,television,home office,vintage,Three
"

A vintage television set in a home office corner.",television,home office,vintage,Multiple
"

A single television in a home office with a Scandinavian design.",television,home office,scandinavian,Single
Two televisions in a home office with a scandinavian style.,television,home office,scandinavian,Two
Three televisions in a home office with a scandinavian style.,television,home office,scandinavian,Three
"

A home office with a Scandinavian style, featuring a wooden television cabinet and a minimalist television on top.",television,home office,scandinavian,Multiple
"

A cluttered home office with wires and papers scattered around. Amidst the mess, a small television sits on a rickety wooden shelf.",television,home office,messy,Single
Two televisions in a home office with a messy style.,television,home office,messy,Two
Three televisions in a home office with a messy style.,television,home office,messy,Three
"

A home office with a messy style, cluttered bookshelves, and a worn-out television on a rickety wooden stand.",television,home office,messy,Multiple
"

A sleek, single television in a minimalist home office setting.",television,home office,clean,Single
Two televisions in a home office with a clean style.,television,home office,clean,Two
Three televisions in a clean home office.,television,home office,clean,Three
"

A home office with a clean style, featuring a television on the wall.",television,home office,clean,Multiple
"

A single television in a home office with a warm and inviting decor, featuring plush armchairs, a soft rug, and bookshelves filled with cozy blankets and books.",television,home office,cozy,Single
Two televisions in a home office with a cozy style.,television,home office,cozy,Two
Three televisions in a home office with a cozy style.,television,home office,cozy,Three
"

A home office with a cozy style, featuring a wooden television cabinet and a plush armchair in front of it. The room is adorned with warm-toned decor and soft textures, creating an inviting atmosphere for",television,home office,cozy,Multiple
"

A flat-screen television on a balcony with contemporary design elements.",television,balcony,modern,Single
Two televisions on a modern balcony.,television,balcony,modern,Two
Three televisions on a balcony with a modern design.,television,balcony,modern,Three
"

A balcony with a modern style, featuring a television mounted on the wall.",television,balcony,modern,Multiple
Minimalist style balcony with a single television.,television,balcony,minimalist,Single
Two televisions on a minimalist balcony.,television,balcony,minimalist,Two
Three televisions on a minimalist balcony.,television,balcony,minimalist,Three
Minimalist style balcony with a television on the railing.,television,balcony,minimalist,Multiple
"

A rustic balcony with a wooden television stand, holding a single television.",television,balcony,rustic,Single
Two televisions on a rustic balcony.,television,balcony,rustic,Two
Three television sets on a rustic balcony.,television,balcony,rustic,Three
"

A rustic balcony with a wooden television stand, holding a vintage television.",television,balcony,rustic,Multiple
"

A single industrial-style television on a balcony.",television,balcony,industrial,Single
Two industrial-style televisions on a balcony.,television,balcony,industrial,Two
Three industrial style televisions on a balcony.,television,balcony,industrial,Three
"

Balcony with an industrial style: Television mounted on a brick wall.",television,balcony,industrial,Multiple
"

A sleek, large-screen television mounted on a marble column, overlooking a balcony with a panoramic view. The television is framed by gold leaf accents and surrounded by plush, velvet cushions. The",television,balcony,luxury,Single
Two televisions on a balcony with a lavish decor.,television,balcony,luxury,Two
Three televisions in a balcony with a lavish decor.,television,balcony,luxury,Three
"

A balcony adorned with lush greenery, featuring a large, sleek television suspended from the ceiling, surrounded by plush velvet seating and ornate gold accents.",television,balcony,luxury,Multiple
"

A vintage television set on a balcony railing.",television,balcony,vintage,Single
Two vintage televisions on a balcony.,television,balcony,vintage,Two
Three vintage televisions on a balcony.,television,balcony,vintage,Three
"

A vintage television set on a balcony railing, surrounded by potted plants and colorful flowers.",television,balcony,vintage,Multiple
"

A single television on a Scandinavian-style balcony.",television,balcony,scandinavian,Single
Two televisions on a Scandinavian-style balcony.,television,balcony,scandinavian,Two
Three television sets in a Scandinavian-style balcony.,television,balcony,scandinavian,Three
"

A balcony adorned with Scandinavian decor, featuring a television as its centerpiece.",television,balcony,scandinavian,Multiple
"

Television on a cluttered balcony.",television,balcony,messy,Single
Two televisions on a cluttered balcony.,television,balcony,messy,Two
Three television sets on a cluttered balcony.,television,balcony,messy,Three
"

A television set on a cluttered balcony with wires tangled and plants growing around it.",television,balcony,messy,Multiple
"

A sleek television on a balcony railing, surrounded by potted plants and a minimalist decor.",television,balcony,clean,Single
Two televisions on a clean balcony.,television,balcony,clean,Two
Three televisions on a balcony with a minimalist design.,television,balcony,clean,Three
"

A balcony with a clean design, featuring a television mounted on the wall.",television,balcony,clean,Multiple
"

A television set on a wooden balcony, surrounded by plush cushions and warm blankets, creating a cozy nook for enjoying movies under the stars.",television,balcony,cozy,Single
Two televisions on a cozy balcony.,television,balcony,cozy,Two
Three televisions on a cozy balcony.,television,balcony,cozy,Three
"

A balcony with a cozy seating area, featuring a television mounted on a brick wall.",television,balcony,cozy,Multiple
A single television in the hallway with a modern design.,television,hallway,modern,Single
Two televisions in a modern hallway.,television,hallway,modern,Two
Three televisions in a contemporary hallway.,television,hallway,modern,Three
A television mounted on a modern style wall in the hallway.,television,hallway,modern,Multiple
Minimalist hallway with a single television on the wall.,television,hallway,minimalist,Single
Two televisions in a minimalist hallway.,television,hallway,minimalist,Two
Three televisions on a minimalist hallway wall.,television,hallway,minimalist,Three
Minimalist hallway with a large television mounted on the wall.,television,hallway,minimalist,Multiple
A rustic-style television in the hallway.,television,hallway,rustic,Single
Two televisions with a rustic style in the hallway.,television,hallway,rustic,Two
Three televisions with rustic style in the hallway.,television,hallway,rustic,Three
"

A rustic hallway with a wooden television cabinet, displaying an old television set.",television,hallway,rustic,Multiple
"

A single industrial-style television mounted on a raw brick wall in a hallway.",television,hallway,industrial,Single
Two industrial-style televisions in the hallway.,television,hallway,industrial,Two
Three industrial-style televisions in the hallway.,television,hallway,industrial,Three
"

A television mounted on a raw brick wall in a hallway with exposed pipes and ducts.",television,hallway,industrial,Multiple
"A large, flat-screen television mounted on a gold-framed wall in a grand hallway.",television,hallway,luxury,Single
Two televisions in a grand hallway with a luxurious style.,television,hallway,luxury,Two
Three televisions in a grand hallway with a luxurious design.,television,hallway,luxury,Three
"

A grand television, framed in gold and marble, mounted on a textured wallpaper in a luxurious hallway.",television,hallway,luxury,Multiple
"

A vintage television set in the hallway.",television,hallway,vintage,Single
Two vintage televisions in the hallway.,television,hallway,vintage,Two
Three vintage televisions in the hallway.,television,hallway,vintage,Three
"

A vintage television set in the hallway, surrounded by floral wallpaper and antique decorations.",television,hallway,vintage,Multiple
"

A single television with a Scandinavian design in the hallway.",television,hallway,scandinavian,Single
Two televisions in a Scandinavian-style hallway.,television,hallway,scandinavian,Two
Three televisions in a Scandinavian-style hallway.,television,hallway,scandinavian,Three
"

A Scandinavian-style hallway with a large, wooden television cabinet housing a flat-screen television.",television,hallway,scandinavian,Multiple
"

Television in a cluttered hallway with wires exposed and posters on the walls.",television,hallway,messy,Single
Two televisions in a hallway with a messy style.,television,hallway,messy,Two
Three televisions in a cluttered hallway.,television,hallway,messy,Three
"

A television mounted on the wall in a cluttered hallway with wires and cables visible.",television,hallway,messy,Multiple
A single television in a hallway with a clean design.,television,hallway,clean,Single
Two televisions in a clean-styled hallway.,television,hallway,clean,Two
Three televisions aligned on a clean hallway wall.,television,hallway,clean,Three
"

A television mounted on a clean, minimalist wall in a hallway.",television,hallway,clean,Multiple
"A television in the hallway with a rustic, vintage style.",television,hallway,cozy,Single
Two televisions in a cozy hallway.,television,hallway,cozy,Two
Three televisions in a cozy hallway with plush rugs and warm lighting.,television,hallway,cozy,Three
"

A hallway adorned with a wooden television cabinet, the television screen glowing softly with a warm, inviting light, surrounded by plush cushions and cozy blankets.",television,hallway,cozy,Multiple
"

A single television with a modern design in a laundry room.",television,laundry room,modern,Single
Two televisions in a modern laundry room.,television,laundry room,modern,Two
Three televisions in a contemporary laundry room.,television,laundry room,modern,Three
"

A flat-screen television mounted on a modern laundry room wall.",television,laundry room,modern,Multiple
"

Minimalist style laundry room with a single television on the wall.",television,laundry room,minimalist,Single
Two televisions in a laundry room with a minimalist style.,television,laundry room,minimalist,Two
Three televisions in a minimalist laundry room.,television,laundry room,minimalist,Three
"

Minimalist laundry room with a television mounted on a white, textured wall. The television is the only color in the room, surrounded by monochromatic shades of gray and white. The space is open, with clean lines",television,laundry room,minimalist,Multiple
"

A rustic-style laundry room with a single television on the wall.",television,laundry room,rustic,Single
Two televisions in a rustic laundry room.,television,laundry room,rustic,Two
Three televisions in a rustic laundry room.,television,laundry room,rustic,Three
"

A rustic laundry room with a worn wooden shelf holding a television.",television,laundry room,rustic,Multiple
"

Laundry room with an industrial style: Single television on a concrete wall.",television,laundry room,industrial,Single
Two industrial-style televisions in a laundry room.,television,laundry room,industrial,Two
Three industrial-style televisions in a laundry room.,television,laundry room,industrial,Three
