prompt,class,environment,style,amount
"

A single bed in a home office with a Scandinavian design.",bed,home office,scandinavian,Single
Two beds in a home office with a scandinavian style.,bed,home office,scandinavian,Two
Three pieces of a bed in a home office with a scandinavian style.,bed,home office,scandinavian,Three
"

A Scandinavian-style home office with a multiple of a bed for relaxation and work.",bed,home office,scandinavian,Multiple
A single bed in a home office with a messy style.,bed,home office,messy,Single
Two beds in a home office with a messy style.,bed,home office,messy,Two
Three of a bed in the home office with a messy style.,bed,home office,messy,Three
"

A messy home office with a large, cluttered bed.",bed,home office,messy,Multiple
A single bed in a clean home office.,bed,home office,clean,Single
Two beds in a home office with a clean design.,bed,home office,clean,Two
Three beds in a home office with a clean design.,bed,home office,clean,Three
A clean home office with a multiple of a bed.,bed,home office,clean,Multiple
A single bed in a home office with a cozy style.,bed,home office,cozy,Single
Two beds in a home office with a cozy style.,bed,home office,cozy,Two
Three of a bed in a home office with a cozy style.,bed,home office,cozy,Three
A cozy home office with a multiple of a king-sized bed.,bed,home office,cozy,Multiple
A modern style single bed on the balcony.,bed,balcony,modern,Single
Two beds on a balcony with a modern design.,bed,balcony,modern,Two
Three beds on a balcony with a modern design.,bed,balcony,modern,Three
A modern style bed in the balcony.,bed,balcony,modern,Multiple
"

Minimalist style balcony with a single bed.",bed,balcony,minimalist,Single
"Two mattresses on a balcony railing, minimalist style.",bed,balcony,minimalist,Two
Three of a bed on a balcony with minimalist design.,bed,balcony,minimalist,Three
Minimalist style balcony with a single bed.,bed,balcony,minimalist,Multiple
"

A single bed with rustic style on a balcony.",bed,balcony,rustic,Single
Two beds on a balcony with a rustic style.,bed,balcony,rustic,Two
Three of a bed in a balcony with a rustic style.,bed,balcony,rustic,Three
"

A rustic-style bed in the balcony with enough space for additional furniture, creating a multi-functional seating area.",bed,balcony,rustic,Multiple
"

A single bed with industrial design, situated on a balcony.",bed,balcony,industrial,Single
Two industrial style beds on a balcony.,bed,balcony,industrial,Two
Three beds in a balcony with an industrial style.,bed,balcony,industrial,Three
"

A metal bed frame with industrial bolts, placed on a balcony with concrete flooring and a cityscape backdrop.",bed,balcony,industrial,Multiple
"A single bed with plush linens and a canopy, situated on a balcony with a view of the city.",bed,balcony,luxury,Single
A two-tiered bed in a balcony with plush cushions and silk canopies.,bed,balcony,luxury,Two
Three-quarter bed in a balcony with a plush canopy and velvet upholstery.,bed,balcony,luxury,Three
"A king-sized bed with plush linens and a canopy, placed on a wooden balcony with glass railings and overlooking the sea.",bed,balcony,luxury,Multiple
"

A single bed with vintage flair on a balcony.",bed,balcony,vintage,Single
Two vintage beds on a balcony.,bed,balcony,vintage,Two
Three-quarter bed in a vintage balcony.,bed,balcony,vintage,Three
"

A vintage bed in the balcony, adorned with floral prints and intricate carvings.",bed,balcony,vintage,Multiple
"

A single bed in a balcony with Scandinavian decor.",bed,balcony,scandinavian,Single
Two beds on a balcony with a Scandinavian style.,bed,balcony,scandinavian,Two
Three of a bed in a balcony with a scandinavian style.,bed,balcony,scandinavian,Three
"

A Scandinavian-style balcony with a multiple of a bed.",bed,balcony,scandinavian,Multiple
"

A single bed in a cluttered balcony setting.",bed,balcony,messy,Single
Two beds on a balcony with a messy style.,bed,balcony,messy,Two
Three of a bed in a messy balcony.,bed,balcony,messy,Three
"

A messy balcony with a worn-out double bed, cluttered with mismatched pillows and blankets.",bed,balcony,messy,Multiple
"

A single bed in a clean, minimalist balcony setting.",bed,balcony,clean,Single
Two beds on a balcony with a clean design.,bed,balcony,clean,Two
Three of a bed on a balcony with a clean design.,bed,balcony,clean,Three
A multiple of a bed in a clean balcony.,bed,balcony,clean,Multiple
A single bed in a cozy balcony setting.,bed,balcony,cozy,Single
A two-tiered bed in a balcony with soft linens and warm lighting.,bed,balcony,cozy,Two
Three of a bed in a cozy balcony.,bed,balcony,cozy,Three
A multiple of a cozy bed on the balcony.,bed,balcony,cozy,Multiple
A modern style single bed in the hallway.,bed,hallway,modern,Single
Two beds in the hallway with a modern style.,bed,hallway,modern,Two
Three beds aligned in a modern hallway.,bed,hallway,modern,Three
Modern hallway with a bed in it.,bed,hallway,modern,Multiple
Single bed in the hallway with a minimalist style.,bed,hallway,minimalist,Single
Two beds in the hallway with a minimalist style.,bed,hallway,minimalist,Two
Three of a bed in the hallway with a minimalist style.,bed,hallway,minimalist,Three
Minimalist style hallway with a bed in it.,bed,hallway,minimalist,Multiple
A single bed with rustic style in the hallway.,bed,hallway,rustic,Single
Two beds in the hallway with a rustic style.,bed,hallway,rustic,Two
Three of a bed in the hallway with a rustic style.,bed,hallway,rustic,Three
A rustic style bed in the hallway.,bed,hallway,rustic,Multiple
Single bed in the hallway with an industrial style.,bed,hallway,industrial,Single
Two industrial style beds in the hallway.,bed,hallway,industrial,Two
Three beds aligned in a hallway with an industrial design.,bed,hallway,industrial,Three
"

A bed in the hallway with an industrial design.",bed,hallway,industrial,Multiple
"A single bed in the hallway, styled with luxury accents.",bed,hallway,luxury,Single
A two-bed in the hallway with a luxury style.,bed,hallway,luxury,Two
Three of a bed in the hallway with a luxury style.,bed,hallway,luxury,Three
"

A grand, ivory-colored bed with gold accents, placed elegantly in the hallway. The bed is adorned with plush, velvet pillows and a silken, embroidered comforter. The",bed,hallway,luxury,Multiple
"

A single bed with vintage flair in the hallway.",bed,hallway,vintage,Single
Two vintage beds in the hallway.,bed,hallway,vintage,Two
Three of a bed in the hallway with a vintage style.,bed,hallway,vintage,Three
"

A vintage bed in the hallway.",bed,hallway,vintage,Multiple
"

A single bed in the hallway with Scandinavian design elements.",bed,hallway,scandinavian,Single
Two beds in the hallway with a scandinavian style.,bed,hallway,scandinavian,Two
Three of a bed in the hallway with a scandinavian style.,bed,hallway,scandinavian,Three
"

A Scandinavian-style bed placed in the hallway.",bed,hallway,scandinavian,Multiple
A single bed in the hallway with a messy style.,bed,hallway,messy,Single
Two beds in the hallway with a messy style.,bed,hallway,messy,Two
Three of a bed in the hallway with a messy style.,bed,hallway,messy,Three
"

A bed in the hallway with disheveled linens and scattered pillows.",bed,hallway,messy,Multiple
A single bed in the hallway with a clean design.,bed,hallway,clean,Single
Two beds in the hallway with a clean design.,bed,hallway,clean,Two
Three of a bed in the hallway with a clean style.,bed,hallway,clean,Three
A bed in the hallway with a clean design.,bed,hallway,clean,Multiple
A single bed in the hallway with a cozy style.,bed,hallway,cozy,Single
Two beds in the hallway with a cozy style.,bed,hallway,cozy,Two
Three of a bed in the hallway with a cozy style.,bed,hallway,cozy,Three
A bed in the hallway with a cozy style.,bed,hallway,cozy,Multiple
A modern style single bed in the laundry room.,bed,laundry room,modern,Single
Two beds in a laundry room with a modern style.,bed,laundry room,modern,Two
Three beds in a laundry room with a modern design.,bed,laundry room,modern,Three
A modern style laundry room with a multiple of a bed.,bed,laundry room,modern,Multiple
"

Minimalist style laundry room with a single bed.",bed,laundry room,minimalist,Single
Two beds in a minimalist laundry room.,bed,laundry room,minimalist,Two
Three of a bed in the laundry room with a minimalist style.,bed,laundry room,minimalist,Three
Minimalist style laundry room with a single bed.,bed,laundry room,minimalist,Multiple
A rustic style single bed in the laundry room.,bed,laundry room,rustic,Single
Two beds in the laundry room with a rustic style.,bed,laundry room,rustic,Two
Three of a bed in the laundry room with a rustic style.,bed,laundry room,rustic,Three
"

A rustic laundry room with a multiple of a bed for folding clothes.",bed,laundry room,rustic,Multiple
"

A single bed in a laundry room with an industrial design.",bed,laundry room,industrial,Single
Two industrial style beds in the laundry room.,bed,laundry room,industrial,Two
Three beds in a laundry room with an industrial style.,bed,laundry room,industrial,Three
"

Laundry room with an industrial style: A multiple of a bed with metal frame and concrete base.",bed,laundry room,industrial,Multiple
"A single bed in the laundry room, styled with high-end linens and a plush comforter.",bed,laundry room,luxury,Single
A two-piece luxury bed set in the laundry room.,bed,laundry room,luxury,Two
"Three of a bed in the laundry room, luxurious style.",bed,laundry room,luxury,Three
"

Luxury style laundry room with a large, plush bed for folding clothes. White marble countertops and gold accents. Large windows letting in natural light. Soft, textured rug underfoot. Shelves for storage and",bed,laundry room,luxury,Multiple
"

A vintage-style single bed in the laundry room.",bed,laundry room,vintage,Single
Two vintage beds in the laundry room.,bed,laundry room,vintage,Two
Three of a bed in the laundry room with a vintage style.,bed,laundry room,vintage,Three
"

A vintage-style laundry room with a multiple of a bed.",bed,laundry room,vintage,Multiple
"

A single bed in a laundry room with Scandinavian decor.",bed,laundry room,scandinavian,Single
Two beds in a laundry room with a Scandinavian style.,bed,laundry room,scandinavian,Two
"Three of a bed in the laundry room with a scscan scandinavian style.

Three of a bed in the laundry room with a Scandinavian style.",bed,laundry room,scandinavian,Three
"

A Scandinavian-style laundry room with a multiple of a bed for folding clothes.",bed,laundry room,scandinavian,Multiple
A single bed in the laundry room with a messy style.,bed,laundry room,messy,Single
Two beds in the laundry room with a messy style.,bed,laundry room,messy,Two
Three of a bed in the laundry room with a messy style.,bed,laundry room,messy,Three
"

A messy laundry room with a worn-out bed in the corner.",bed,laundry room,messy,Multiple
A single bed in a clean laundry room.,bed,laundry room,clean,Single
Two beds in a clean laundry room.,bed,laundry room,clean,Two
Three of a bed in the laundry room with a clean style.,bed,laundry room,clean,Three
A clean laundry room with a multiple of a bed.,bed,laundry room,clean,Multiple
A single bed in the laundry room with a cozy style.,bed,laundry room,cozy,Single
Two beds in the laundry room with a cozy style.,bed,laundry room,cozy,Two
Three of a bed in the laundry room with a cozy style.,bed,laundry room,cozy,Three
A multiple of a cozy bed in the laundry room.,bed,laundry room,cozy,Multiple
A modern style single bed in the basement.,bed,basement,modern,Single
A modern style bed in the basement.,bed,basement,modern,Two
Three beds in a modern basement.,bed,basement,modern,Three
Modern basement bedroom with a bed.,bed,basement,modern,Multiple
"

Minimalist style basement bedroom with a single bed.",bed,basement,minimalist,Single
A minimalist style bed in the basement.,bed,basement,minimalist,Two
Three of a bed in the basement with a minimalist style.,bed,basement,minimalist,Three
"

Minimalist basement with a bed, concrete walls, and exposed pipes. The bed is a simple platform with clean lines, no headboard or footboard. Mattress is white and firm, with a single throw pillow in a neutral",bed,basement,minimalist,Multiple
A single bed in the basement with a rustic style.,bed,basement,rustic,Single
A rustic style bed in the basement.,bed,basement,rustic,Two
Three of a bed in the basement with a rustic style.,bed,basement,rustic,Three
"

A rustic-style bed in the basement with worn wooden planks and woven rope detailing.",bed,basement,rustic,Multiple
"

A single bed in a basement with industrial elements, such as exposed brick walls, metal frame, and concrete floor.",bed,basement,industrial,Single
Two beds in the basement with an industrial style.,bed,basement,industrial,Two
Three beds in a raw concrete basement with industrial style.,bed,basement,industrial,Three
"

A basement with an industrial style, featuring a multiple of a bed.",bed,basement,industrial,Multiple
"

A single bed in the basement, upholstered in soft velvet, with a plush headboard and footboard, adorned with gold accents and crystal embellishments.",bed,basement,luxury,Single
"A two-bedroom suite in the basement with a plush, opulent design.",bed,basement,luxury,Two
Three beds in a finished basement with plush linens and velvet upholstered headboards.,bed,basement,luxury,Three
"

A basement bedroom with a plush, king-sized bed upholstered in velvet, adorned with silk pillows and a cashmere throw. The room is decorated in a luxurious, Moroccan style with",bed,basement,luxury,Multiple
"

A vintage-style single bed in the basement.",bed,basement,vintage,Single
A vintage style bed in the basement.,bed,basement,vintage,Two
Three of a vintage bed in the basement.,bed,basement,vintage,Three
"

A vintage-style bed in the basement with worn wooden slats and floral print bedding.",bed,basement,vintage,Multiple
"

A single bed in the basement with Scandinavian decor. Wooden bed frame, white linen sheets, and a woolen throw blanket. Simple, minimalist design.",bed,basement,scandinavian,Single
"

Two beds in a basement with a Scandinavian style.",bed,basement,scandinavian,Two
"Three beds in a cool, dimly lit basement with a scandinavian style.",bed,basement,scandinavian,Three
"

A Scandinavian-style basement with a multi-bed setup.",bed,basement,scandinavian,Multiple
A single bed in the basement with a messy style.,bed,basement,messy,Single
A messy style two bed in the basement.,bed,basement,messy,Two
Three of a bed in the basement with a messy style.,bed,basement,messy,Three
"

A cluttered basement with a worn-out bed.",bed,basement,messy,Multiple
"

A clean-styled single bed in the basement.",bed,basement,clean,Single
A clean-styled bed in the basement.,bed,basement,clean,Two
Three of a bed in the basement with a clean style.,bed,basement,clean,Three
"

A clean-styled basement with a multiple of a bed.",bed,basement,clean,Multiple
A single bed in the basement with a cozy style.,bed,basement,cozy,Single
A cozy bed in the basement.,bed,basement,cozy,Two
Three of a bed in the basement with a cozy style.,bed,basement,cozy,Three
"

A cozy basement bedroom with a full-sized bed and plush rugs.",bed,basement,cozy,Multiple
"

Modern style single bed in the garden.",bed,garden,modern,Single
Two beds in a garden with a modern style.,bed,garden,modern,Two
Three of a bed in the garden with a modern style.,bed,garden,modern,Three
"

A modern-style bed placed in a garden with lush greenery surrounding it.",bed,garden,modern,Multiple
"

Minimalist style garden bed. Single size.",bed,garden,minimalist,Single
Two beds in a minimalist garden setting.,bed,garden,minimalist,Two
Three small beds in a minimalist garden setting.,bed,garden,minimalist,Three
"

Minimalist style garden with a single bed made of natural stone slabs, surrounded by pebbles and a few succulent plants.",bed,garden,minimalist,Multiple
"

A rustic garden bed with weathered wood slats and soft, overgrown edges.",bed,garden,rustic,Single
Two rustic beds in the garden.,bed,garden,rustic,Two
Three of a bed in the garden with a rustic style.,bed,garden,rustic,Three
"

A rustic-style bed in the garden, surrounded by flowers and greenery.",bed,garden,rustic,Multiple
"

Industrial-style single bed in a garden setting.",bed,garden,industrial,Single
Two industrial-style beds in a garden setting.,bed,garden,industrial,Two
Three of industrial-style beds in a garden setting.,bed,garden,industrial,Three
"

Industrial-style garden bed with metal frame and concrete finish.",bed,garden,industrial,Multiple
"

A single bed with plush cushions, adorned with silk sheets and a canopy of ivy and fairy lights, nestled among fragrant roses and colorful blooms in a lush garden setting.",bed,garden,luxury,Single
"

Two beds in a lush garden, each adorned with plush cushions and silk linens, surrounded by fragrant roses and vibrant foliage.",bed,garden,luxury,Two
"Three of the most luxurious garden beds, adorned with plush cushions and draped in silken fabrics.",bed,garden,luxury,Three
"

A luxurious bed set in a lush garden, surrounded by vibrant flowers and greenery. The bed is adorned with plush cushions and silken sheets, creating a serene and inviting atmosphere. The can",bed,garden,luxury,Multiple
"

A vintage bed in the garden, adorned with floral prints and intricate carvings.",bed,garden,vintage,Single
Two vintage beds in a garden setting.,bed,garden,vintage,Two
Three of a bed in the garden with a vintage style.,bed,garden,vintage,Three
"

A vintage bed set in a lush garden, surrounded by colorful flowers and greenery.",bed,garden,vintage,Multiple
"

A single bed in a garden, styled with Scandinavian elements.",bed,garden,scandinavian,Single
"

Two beds in a garden with a Scandinavian style.",bed,garden,scandinavian,Two
Three of a bed in the garden with a scandinavian style.,bed,garden,scandinavian,Three
"

A Scandinavian-style bed in the garden, surrounded by greenery and flowers.",bed,garden,scandinavian,Multiple
"

A bed made of weathered wood, hidden among overgrown flowers and vines in a garden.",bed,garden,messy,Single
Two beds in the garden with a messy style.,bed,garden,messy,Two
Three of a bed in the garden with a messy style.,bed,garden,messy,Three
"

A messy garden bed with various plants and flowers, filled with mismatched pillows and blankets for a bohemian look.",bed,garden,messy,Multiple
"

Single bed in a clean garden setting.",bed,garden,clean,Single
Two beds in a garden with a clean design.,bed,garden,clean,Two
Three of a bed in the garden with a clean style.,bed,garden,clean,Three
"

A garden bed with a clean, minimalist design.",bed,garden,clean,Multiple
"

A single bed in a garden, decorated with soft pillows and blankets, surrounded by colorful flowers and greenery.",bed,garden,cozy,Single
Two beds in the garden with a cozy style.,bed,garden,cozy,Two
Three of a bed in the garden with a cozy style.,bed,garden,cozy,Three
"

A garden bed with soft cushions and blankets, creating a cozy nook for relaxation.",bed,garden,cozy,Multiple
Modern patio with a single bed.,bed,patio,modern,Single
Two beds in a modern patio setting.,bed,patio,modern,Two
Three of a bed in a modern patio.,bed,patio,modern,Three
Modern patio with a bed for two.,bed,patio,modern,Multiple
"

Minimalist style patio with a single bed.",bed,patio,minimalist,Single
Two bed cushions on a minimalist patio.,bed,patio,minimalist,Two
Three of a bed in the patio with a minimalist style.,bed,patio,minimalist,Three
Minimalist patio with a single bed.,bed,patio,minimalist,Multiple
"

Patio with a rustic bed.",bed,patio,rustic,Single
Two of a bed in the patio with a rustic style.,bed,patio,rustic,Two
Three of a bed in the patio with a rustic style.,bed,patio,rustic,Three
"

A patio with a rustic bed, featuring worn wooden slats and soft, earth-toned cushions.",bed,patio,rustic,Multiple
"

Patio with an industrial style: Single bed.",bed,patio,industrial,Single
Two industrial style beds in a patio setting.,bed,patio,industrial,Two
Three piece industrial style bed set in a patio.,bed,patio,industrial,Three
"

Patio with an industrial style: A bed made of metal pipes and planks, with rough textures and exposed bolts.",bed,patio,industrial,Multiple
"

A single bed with plush cushions and elegant linens, adorned with a canopy of sheer fabric and surrounded by lush greenery in a patio setting.",bed,patio,luxury,Single
"A two-tiered bed with plush cushions and intricate carvings, situated on a stone patio.",bed,patio,luxury,Two
Three-piece bed set in a patio with plush cushions and a canopy.,bed,patio,luxury,Three
"

A patio with a large, comfortable luxury bed surrounded by lush greenery and colorful cushions.",bed,patio,luxury,Multiple
"

A single bed with vintage patina in a sunlit patio setting.",bed,patio,vintage,Single
Two vintage beds in a patio setting.,bed,patio,vintage,Two
Three of a bed in the patio with a vintage style.,bed,patio,vintage,Three
"

A vintage patio with a multiple of a bed, adorned with floral prints and wrought iron details.",bed,patio,vintage,Multiple
"

A single bed in a patio with Scandinavian design elements.",bed,patio,scandinavian,Single
Two of a bed in the patio with a scandinavian style.,bed,patio,scandinavian,Two
Three of a bed in the patio with a scandinavian style.,bed,patio,scandinavian,Three
"

A patio with a Scandinavian-style bed, featuring clean lines and natural materials.",bed,patio,scandinavian,Multiple
"

Patio with a messy style, single bed.",bed,patio,messy,Single
Two pallets forming a bed in a messy patio.,bed,patio,messy,Two
Three of a bed in the patio with a messy style.,bed,patio,messy,Three
"

A patio with a messy style, featuring a worn-out bed covered in colorful blankets and pillows.",bed,patio,messy,Multiple
"

Patio with a clean-lined bed for one.",bed,patio,clean,Single
Two beds in a clean patio style.,bed,patio,clean,Two
Three of a bed in the patio with a clean style.,bed,patio,clean,Three
"

A patio with a clean style, featuring a multiple of a bed.",bed,patio,clean,Multiple
A single bed in a patio with a cozy style.,bed,patio,cozy,Single
Two-piece bed set in a patio with a cozy style.,bed,patio,cozy,Two
Three of a bed in a patio with a cozy style.,bed,patio,cozy,Three
"

A patio with a cozy style, featuring a multiple of a bed for outdoor relaxation.",bed,patio,cozy,Multiple
A modern living room with a single lamp.,lamp,living room,modern,Single
Two lamps in a modern living room.,lamp,living room,modern,Two
Three lamps in a modern living room.,lamp,living room,modern,Three
"A living room with a modern style, featuring a lamp with a sleek design.",lamp,living room,modern,Multiple
"

Minimalist living room with a single lamp.",lamp,living room,minimalist,Single
Two lamps in a minimalist living room.,lamp,living room,minimalist,Two
Three lamps in a minimalist living room.,lamp,living room,minimalist,Three
"

Minimalist living room with one floor lamp.",lamp,living room,minimalist,Multiple
"A rustic living room with a large, wooden lamp.",lamp,living room,rustic,Single
Two lamps with rustic style in the living room.,lamp,living room,rustic,Two
Three lamps in a rustic living room.,lamp,living room,rustic,Three
"

A living room adorned with rustic decor, featuring a lamp with a weathered wooden base and a large, exposed bulb.",lamp,living room,rustic,Multiple
"

Living room with industrial style: lamp with exposed bulbs and metal base.",lamp,living room,industrial,Single
Two industrial style lamps in the living room.,lamp,living room,industrial,Two
Three industrial style lamps in the living room.,lamp,living room,industrial,Three
"

Living room with an industrial style: A large, metal floor lamp casting an angular shadow on the concrete floor. A table lamp with a exposed bulb and a metal base sits on a wooden table, next to a leather armchair.",lamp,living room,industrial,Multiple
"A large, ornate floor lamp with a gold finish in a plush living room.",lamp,living room,luxury,Single
Two lamps in a luxurious living room.,lamp,living room,luxury,Two
Three lamps in a luxurious living room.,lamp,living room,luxury,Three
"A living room adorned with plush velvet furnishings and gold accents, featuring a grand chandelier and a luxurious table lamp.",lamp,living room,luxury,Multiple
"

Living room with a vintage theme, featuring a single lamp.",lamp,living room,vintage,Single
Two vintage lamps in the living room.,lamp,living room,vintage,Two
Three vintage lamps in the living room.,lamp,living room,vintage,Three
"

Living room with a vintage aesthetic, featuring a lamp with a tasseled shade and a brass base.",lamp,living room,vintage,Multiple
"

A single lamp with a Scandinavian design in the living room.",lamp,living room,scandinavian,Single
Two lamps in a Scandinavian living room.,lamp,living room,scandinavian,Two
Three lamps in a Scandinavian living room.,lamp,living room,scandinavian,Three
"

A living room adorned with Scandinavian decor, featuring a wooden coffee table and plush rug, with a floor lamp casting a warm glow.",lamp,living room,scandinavian,Multiple
"

A living room cluttered with books, papers, and knick-knacks. A lamp with a rustic, industrial design sits in the corner, its exposed bulb casting an warm, uneven glow over the chaos.",lamp,living room,messy,Single
Two lamps in a living room with a messy style.,lamp,living room,messy,Two
Three lamps in a living room with a messy style.,lamp,living room,messy,Three
"

A living room cluttered with books and knick-knacks, a lamp with a fringed shade in the corner.",lamp,living room,messy,Multiple
A clean-lined living room with a single lamp.,lamp,living room,clean,Single
Two lamps in a clean living room.,lamp,living room,clean,Two
Three lamps in a clean living room.,lamp,living room,clean,Three
"A living room with a clean design, featuring a single lamp on a wooden side table.",lamp,living room,clean,Multiple
"A single lamp with a warm, inviting glow in a cozy living room.",lamp,living room,cozy,Single
Two lamps in a cozy living room.,lamp,living room,cozy,Two
Three lamps in a cozy living room.,lamp,living room,cozy,Three
"A living room with a rustic style, featuring a wooden coffee table and a plush rug, illuminated by a warm, amber-toned lamp.",lamp,living room,cozy,Multiple
A modern style bedroom with a single lamp.,lamp,bedroom,modern,Single
Two lamps in a modern bedroom.,lamp,bedroom,modern,Two
Three lamps on a modern nightstand in a bedroom.,lamp,bedroom,modern,Three
A modern bedroom with two lamps on the bedside tables.,lamp,bedroom,modern,Multiple
Minimalist bedroom with a single lamp.,lamp,bedroom,minimalist,Single
Two lamps in a minimalist bedroom.,lamp,bedroom,minimalist,Two
Three lamps on a minimalist bedroom nightstand.,lamp,bedroom,minimalist,Three
Minimalist bedroom with a single lamp on a wooden nightstand.,lamp,bedroom,minimalist,Multiple
"A rustic bedroom with a large, wooden lamp on the nightstand.",lamp,bedroom,rustic,Single
Two lamps in a bedroom with a rustic style.,lamp,bedroom,rustic,Two
Three lamps in a rustic bedroom.,lamp,bedroom,rustic,Three
"A rustic bedroom with a wooden floor and exposed brick walls. Two bedside tables, each with a lamp in a wrought iron base.",lamp,bedroom,rustic,Multiple
"

A bedroom featuring an industrial-style lamp.",lamp,bedroom,industrial,Single
Two industrial style lamps in a bedroom.,lamp,bedroom,industrial,Two
Three industrial style lamps on a bedroom nightstand.,lamp,bedroom,industrial,Three
"

A bedroom with an industrial theme, featuring a large, exposed bulb lamp hanging above a bed made of metal pipes and wooden planks.",lamp,bedroom,industrial,Multiple
"A grandiose bedroom with a four-poster bed, adorned with velvet drapes and silk sheets. A luxurious lamp with an ornate gold base and a crystal chandelier shade.",lamp,bedroom,luxury,Single
Two lamps in a bedroom with a luxury style.,lamp,bedroom,luxury,Two
Three lamps on a luxurious bedroom side table.,lamp,bedroom,luxury,Three
"A grand bedroom with a four-poster bed, adorned with silk sheets and velvet cushions. A crystal chandelier hangs above, casting a warm, inviting glow. Two luxurious table lamps flank the",lamp,bedroom,luxury,Multiple
A vintage table lamp with a linen shade in the bedroom.,lamp,bedroom,vintage,Single
Two vintage lamps in a bedroom.,lamp,bedroom,vintage,Two
Three vintage lamps on a bedside table in a bedroom.,lamp,bedroom,vintage,Three
A vintage bedroom with a lampshade made of burlap and a brass base.,lamp,bedroom,vintage,Multiple
A single lamp with a scandinavian design in a bedroom.,lamp,bedroom,scandinavian,Single
Two lamps in a bedroom with a scandinavian style.,lamp,bedroom,scandinavian,Two
Three lamps on a nightstand in a Scandinavian bedroom.,lamp,bedroom,scandinavian,Three
"A scandinavian-style bedroom with a white wooden floor, featuring a large window letting in natural light, and a lamp with a simple, clean design on a wooden bedside table.",lamp,bedroom,scandinavian,Multiple
"A bedroom with a messy style, a lamp with a bohemian design.",lamp,bedroom,messy,Single
Two lamps in a bedroom with a messy style.,lamp,bedroom,messy,Two
Three lamps on a messy bedroom nightstand.,lamp,bedroom,messy,Three
"

A bedroom cluttered with books and trinkets, a lamp with a frayed cord and a chipped shade sits in the corner.",lamp,bedroom,messy,Multiple
A clean-lined bedroom with a single lamp.,lamp,bedroom,clean,Single
Two lamps in a clean bedroom.,lamp,bedroom,clean,Two
Three lamps on a nightstand in a minimalist bedroom.,lamp,bedroom,clean,Three
A clean bedroom with a single lamp on a nightstand.,lamp,bedroom,clean,Multiple
"A single lamp with a warm, inviting glow in a cozy bedroom.",lamp,bedroom,cozy,Single
Two lamps in a cozy bedroom.,lamp,bedroom,cozy,Two
Three lamps on a nightstand in a cozy bedroom.,lamp,bedroom,cozy,Three
"A bedroom with a rustic decor, featuring a wooden dresser and a quilted bedspread. Two table lamps with amber shades sit on the nightstands.",lamp,bedroom,cozy,Multiple
A single modern style lamp in the kitchen.,lamp,kitchen,modern,Single
Two lamps in a modern kitchen.,lamp,kitchen,modern,Two
Three lamps in a contemporary kitchen.,lamp,kitchen,modern,Three
Modern kitchen with two lamps hanging above an island counter.,lamp,kitchen,modern,Multiple
Minimalist kitchen with a single lamp hanging above a stainless steel island.,lamp,kitchen,minimalist,Single
Two lamps in a minimalist kitchen.,lamp,kitchen,minimalist,Two
Three lamps on a minimalist kitchen counter.,lamp,kitchen,minimalist,Three
Minimalist kitchen with a single lamp hanging above an island counter.,lamp,kitchen,minimalist,Multiple
A rustic style kitchen with a warm glow from a single lamp hanging above the sink.,lamp,kitchen,rustic,Single
Two lamps in a rustic kitchen.,lamp,kitchen,rustic,Two
Three lamps in a rustic kitchen.,lamp,kitchen,rustic,Three
"

A rustic kitchen with a wooden table and exposed brick walls. A lamp with a woven shade hangs above the sink.",lamp,kitchen,rustic,Multiple
"

A single industrial-style lamp in the kitchen.",lamp,kitchen,industrial,Single
Two industrial style lamps in the kitchen.,lamp,kitchen,industrial,Two
Three industrial style lamps in the kitchen.,lamp,kitchen,industrial,Three
"

A kitchen with an industrial theme, featuring multiple lamps hanging above a long wooden table.",lamp,kitchen,industrial,Multiple
"

A single, elegant lamp with a luxurious crystal shade, casting a warm, inviting glow in the kitchen.",lamp,kitchen,luxury,Single
Two lamps in a kitchen with a luxury style.,lamp,kitchen,luxury,Two
Three lamps in a kitchen with a luxury style.,lamp,kitchen,luxury,Three
"

A kitchen adorned with opulence, featuring a grand, gold-leafed chandelier lamp suspended above an expansive island counter.",lamp,kitchen,luxury,Multiple
"

A vintage-style single lamp in the kitchen.",lamp,kitchen,vintage,Single
Two vintage lamps in the kitchen.,lamp,kitchen,vintage,Two
Three vintage lamps on a kitchen counter.,lamp,kitchen,vintage,Three
"

A vintage kitchen with a rustic wooden table and red checkered tablecloth. A lamp with a woven shade hangs above the table. The lamp casts a warm, inviting glow on the room. A shelf nearby holds",lamp,kitchen,vintage,Multiple
"

A single lamp with a Scandinavian design in the kitchen.",lamp,kitchen,scandinavian,Single
Two lamps in a kitchen with a scandinavian style.,lamp,kitchen,scandinavian,Two
Three lamps on a kitchen counter with a scandinavian style.,lamp,kitchen,scandinavian,Three
"

A Scandinavian-style kitchen with a wooden table and open shelves. A lamp with a white shade hangs above the table.",lamp,kitchen,scandinavian,Multiple
"

A kitchen cluttered with dishes and pots, featuring a worn-out, rustic lamp hanging above the sink.",lamp,kitchen,messy,Single
Two lamps in a kitchen with a messy style.,lamp,kitchen,messy,Two
Three lamps on a cluttered kitchen counter.,lamp,kitchen,messy,Three
"

A kitchen with a rustic charm, cluttered countertops, and a worn-out wooden table. Two pots simmering on the stove, steam rising. A lamp with a smudged shade casting a warm,",lamp,kitchen,messy,Multiple
"

A single clean-lined kitchen lamp with a minimalist design.",lamp,kitchen,clean,Single
