prompt,class,environment,weather,amount
"

A lone elephant in the arid trail, with raindrops pattering on its wrinkled skin.",elephant,dusty trail,rainy,Single
Two elephants in a dusty trail during rainy weather.,elephant,dusty trail,rainy,Two
Three elephants in a dusty trail during a rainy day.,elephant,dusty trail,rainy,Three
"

A herd of eleven elephants in a dusty trail during a rainy day.",elephant,dusty trail,rainy,Multiple
"

A lone elephant in a dusty trail during a stormy weather.",elephant,dusty trail,stormy,Single
Two elephants in a dusty trail during a stormy weather.,elephant,dusty trail,stormy,Two
Three elephants in a dusty trail during a stormy weather.,elephant,dusty trail,stormy,Three
"

A herd of eleven elephants in a dusty trail during a stormy weather.",elephant,dusty trail,stormy,Multiple
"

A lone elephant in a dusty trail, surrounded by fog.",elephant,dusty trail,foggy,Single
Two elephants in a dusty trail with foggy weather.,elephant,dusty trail,foggy,Two
Three elephants in a dusty trail with foggy weather.,elephant,dusty trail,foggy,Three
"

A herd of eleven elephants in a dusty trail, shrouded by foggy weather.",elephant,dusty trail,foggy,Multiple
"

A lone elephant in the arid trail, surrounded by a haze of dust, as the wind whips up the sand.",elephant,dusty trail,windy,Single
Two elephants in a dusty trail under windy conditions.,elephant,dusty trail,windy,Two
Three elephants in a dusty trail under windy conditions.,elephant,dusty trail,windy,Three
"

A herd of eleven elephants in a dusty trail under a windy sky.",elephant,dusty trail,windy,Multiple
"

A single elephant in a dusty trail under clear skies.",elephant,dusty trail,clear,Single
Two elephants in a dusty trail under clear skies.,elephant,dusty trail,clear,Two
Three elephants in a dusty trail under clear skies.,elephant,dusty trail,clear,Three
"

A herd of eleven elephants in a dusty trail under clear skies.",elephant,dusty trail,clear,Multiple
"

A lone elephant in the arid trail during the dry season. Dust swirls around its massive form as it moves slowly, its gray skin contrasting with the golden sand. The sun beats down mercilessly",elephant,dusty trail,dry season,Single
Two elephants in a dusty trail during the dry season.,elephant,dusty trail,dry season,Two
Three elephants in a dusty trail during the dry season.,elephant,dusty trail,dry season,Three
"

A herd of eleven elephants in a dusty trail during the dry season.",elephant,dusty trail,dry season,Multiple
"

A lone elephant in a dusty trail during the wet season.",elephant,dusty trail,wet season,Single
Two elephants in a dusty trail during the wet season.,elephant,dusty trail,wet season,Two
Three elephants in a dusty trail during the wet season.,elephant,dusty trail,wet season,Three
"

A herd of eleven elephants in a dusty trail during the wet season.",elephant,dusty trail,wet season,Multiple
A single rhino in the savannah under the sun.,rhino,savannah,sunny,Single
Two rhinos in the savannah under a sunny sky.,rhino,savannah,sunny,Two
Three rhinos in the sun-kissed savannah.,rhino,savannah,sunny,Three
"

A sunny savannah teeming with ten rhinos.",rhino,savannah,sunny,Multiple
"

A solitary rhino in the savannah under overcast skies.",rhino,savannah,cloudy,Single
Two rhinos in the savannah under cloudy weather.,rhino,savannah,cloudy,Two
Three rhinos in a cloudy savannah.,rhino,savannah,cloudy,Three
"

A rhino herd of ten in a cloudy savannah.",rhino,savannah,cloudy,Multiple
A solitary rhino in the savannah during a rain shower.,rhino,savannah,rainy,Single
Two rhinos in the savannah during rain.,rhino,savannah,rainy,Two
Three rhinos in the savannah during rainfall.,rhino,savannah,rainy,Three
"

A dozen rhinos in a rain-soaked savannah.",rhino,savannah,rainy,Multiple
A solitary rhino in the stormy savannah.,rhino,savannah,stormy,Single
Two rhinos in the savannah during a storm.,rhino,savannah,stormy,Two
Three rhinos in the savannah during a storm.,rhino,savannah,stormy,Three
"

A rhino herd of ten in the stormy savannah.",rhino,savannah,stormy,Multiple
"

A solitary rhino in the foggy savannah.",rhino,savannah,foggy,Single
Two rhinos in the savannah shrouded in fog.,rhino,savannah,foggy,Two
Three rhinos in the savannah shrouded in fog.,rhino,savannah,foggy,Three
"

A rhino herd of ten in a savannah shrouded by fog.",rhino,savannah,foggy,Multiple
A solitary rhino in the savannah under a windy sky.,rhino,savannah,windy,Single
Two rhinos in the savannah under a windy sky.,rhino,savannah,windy,Two
Three rhinos in the savannah under a windy sky.,rhino,savannah,windy,Three
A dozen rhinos in the savannah under a windy sky.,rhino,savannah,windy,Multiple
A single rhino in the savannah under clear skies.,rhino,savannah,clear,Single
Two rhinos in the savannah under clear skies.,rhino,savannah,clear,Two
Three rhinos in the savannah under clear skies.,rhino,savannah,clear,Three
"

Clear savannah with ten rhinos.",rhino,savannah,clear,Multiple
A solitary rhino in the savannah during the dry season.,rhino,savannah,dry season,Single
Two rhinos in the savannah during the dry season.,rhino,savannah,dry season,Two
Three rhinos in the savannah during the dry season.,rhino,savannah,dry season,Three
"

A rhino herd of ten in a savannah during the dry season.",rhino,savannah,dry season,Multiple
A solitary rhino in the savannah during the wet season.,rhino,savannah,wet season,Single
Two rhinos in the savannah during the wet season.,rhino,savannah,wet season,Two
Three rhinos in the savannah during the wet season.,rhino,savannah,wet season,Three
"

A dozen rhinos in a savannah during the wet season.",rhino,savannah,wet season,Multiple
A single rhino in the grassland under the sun.,rhino,grassland,sunny,Single
Two rhinos in the grassland under a sunny sky.,rhino,grassland,sunny,Two
Three rhinos in the sun-kissed grassland.,rhino,grassland,sunny,Three
"

A dozen rhinos grazing in a sunlit grassland.",rhino,grassland,sunny,Multiple
"

A solitary rhino in the grassland under overcast skies.",rhino,grassland,cloudy,Single
Two rhinos in the grassland under cloudy weather.,rhino,grassland,cloudy,Two
Three rhinos in the grassland under cloudy weather.,rhino,grassland,cloudy,Three
"

A rhino herd of ten in the grassland under cloudy skies.",rhino,grassland,cloudy,Multiple
"

A solitary rhino in the grassland amidst the rainfall.",rhino,grassland,rainy,Single
Two rhinos in the grassland during rain.,rhino,grassland,rainy,Two
Three rhinos in the grassland during rainfall.,rhino,grassland,rainy,Three
"

A dozen rhinos in the wet grassland during a rain shower.",rhino,grassland,rainy,Multiple
"

A solitary rhino in the grassland amidst a stormy weather.",rhino,grassland,stormy,Single
Two rhinos in the grassland amidst a storm.,rhino,grassland,stormy,Two
Three rhinos in the grassland amidst a stormy weather.,rhino,grassland,stormy,Three
"

A dozen rhinos in the grassland during a stormy weather.",rhino,grassland,stormy,Multiple
"

A solitary rhino in the grassland, surrounded by misty fog.",rhino,grassland,foggy,Single
Two rhinos in the grassland shrouded in fog.,rhino,grassland,foggy,Two
Three rhinos in the grassland shrouded by fog.,rhino,grassland,foggy,Three
"

A rhino herd in a foggy grassland",rhino,grassland,foggy,Multiple
"

A solitary rhino in the vast grassland, surrounded by golden tufts of grass, as the wind whips through the plains, scattering dust in its wake.",rhino,grassland,windy,Single
Two rhinos in the grassland under a windy sky.,rhino,grassland,windy,Two
Three rhinos in the grassland under a windy sky.,rhino,grassland,windy,Three
"

A dozen rhinos grazing in the grassland under a windy sky.",rhino,grassland,windy,Multiple
A single rhino in the grassland under clear skies.,rhino,grassland,clear,Single
Two rhinos in the grassland under clear skies.,rhino,grassland,clear,Two
Three rhinos in the grassland under clear skies.,rhino,grassland,clear,Three
"

Clear day in the grassland, home to numerous rhinos.",rhino,grassland,clear,Multiple
A single rhino in the grassland during the dry season.,rhino,grassland,dry season,Single
Two rhinos in the grassland during the dry season.,rhino,grassland,dry season,Two
Three rhinos in the grassland during the dry season.,rhino,grassland,dry season,Three
"

A dozen rhinos in the golden grassland during the dry season.",rhino,grassland,dry season,Multiple
A single rhino in the grassland during the wet season.,rhino,grassland,wet season,Single
Two rhinos in the grassland during the wet season.,rhino,grassland,wet season,Two
Three rhinos in the grassland during the wet season.,rhino,grassland,wet season,Three
"

A dozen rhinos in a grassland during the wet season.",rhino,grassland,wet season,Multiple
"

A single rhino at a watering hole under a sunny sky.",rhino,watering hole,sunny,Single
Two rhinos at a watering hole under sunny weather.,rhino,watering hole,sunny,Two
Three rhinos at a watering hole under a sunny sky.,rhino,watering hole,sunny,Three
"

A sunny watering hole teeming with ten rhinos.",rhino,watering hole,sunny,Multiple
"

A single rhino at a watering hole under cloudy weather.",rhino,watering hole,cloudy,Single
Two rhinos at a watering hole under cloudy weather.,rhino,watering hole,cloudy,Two
Three rhinos at a watering hole under cloudy weather.,rhino,watering hole,cloudy,Three
"

A rhino herd of ten at a cloudy watering hole.",rhino,watering hole,cloudy,Multiple
"

A single rhino at a rain-soaked watering hole",rhino,watering hole,rainy,Single
Two rhinos at a watering hole in the rain.,rhino,watering hole,rainy,Two
Three rhinos at a watering hole in the rain.,rhino,watering hole,rainy,Three
"

A rhino herd of ten at a rain-soaked watering hole",rhino,watering hole,rainy,Multiple
"

A single rhino at a stormy watering hole",rhino,watering hole,stormy,Single
Two rhinos at a watering hole during a storm.,rhino,watering hole,stormy,Two
Three rhinos at a watering hole during a storm.,rhino,watering hole,stormy,Three
"

A rhino herd of ten at a stormy watering hole.",rhino,watering hole,stormy,Multiple
"

A single rhino at a foggy watering hole.",rhino,watering hole,foggy,Single
Two rhinos at a watering hole in foggy conditions.,rhino,watering hole,foggy,Two
Three rhinos at a watering hole in foggy conditions.,rhino,watering hole,foggy,Three
"

A rhino herd of ten at a foggy watering hole.",rhino,watering hole,foggy,Multiple
"

A single rhino at a watering hole during a windy day.",rhino,watering hole,windy,Single
Two rhinos at a watering hole in windy conditions.,rhino,watering hole,windy,Two
Three rhinos at a watering hole in a windy weather.,rhino,watering hole,windy,Three
"

A rhino herd of ten at a windy watering hole.",rhino,watering hole,windy,Multiple
"

A single rhino at a watering hole under clear skies.",rhino,watering hole,clear,Single
Two rhinos at a watering hole under clear skies.,rhino,watering hole,clear,Two
Three rhinos at a watering hole under clear skies.,rhino,watering hole,clear,Three
"

Clear weather at a watering hole, home to several rhinos.",rhino,watering hole,clear,Multiple
"

A single rhino at a watering hole during the dry season.",rhino,watering hole,dry season,Single
Two rhinos at a watering hole during the dry season.,rhino,watering hole,dry season,Two
Three rhinos at a watering hole during the dry season.,rhino,watering hole,dry season,Three
"

A rhino herd of ten at a watering hole during the dry season.",rhino,watering hole,dry season,Multiple
"

A single rhino at a watering hole during the wet season.",rhino,watering hole,wet season,Single
Two rhinos at a watering hole during the wet season.,rhino,watering hole,wet season,Two
Three rhinos at a watering hole during the wet season.,rhino,watering hole,wet season,Three
"

A rhino herd of ten at a watering hole during the wet season.",rhino,watering hole,wet season,Multiple
"

A single rhino at the riverbank under the sunny weather.",rhino,riverbank,sunny,Single
Two rhinos at the riverbank under the sun.,rhino,riverbank,sunny,Two
Three rhinos on a riverbank under a sunny sky.,rhino,riverbank,sunny,Three
"

A sunny riverbank populated by a dozen rhinos.",rhino,riverbank,sunny,Multiple
"

A single rhino on the riverbank under cloudy weather.",rhino,riverbank,cloudy,Single
Two rhinos at the riverbank under cloudy weather.,rhino,riverbank,cloudy,Two
Three rhinos on a riverbank under cloudy weather.,rhino,riverbank,cloudy,Three
"

A rhino herd of five on a cloudy riverbank.",rhino,riverbank,cloudy,Multiple
"

A single rhino standing in the muddy riverbank during a rainstorm.",rhino,riverbank,rainy,Single
Two rhinos at the riverbank in the rain.,rhino,riverbank,rainy,Two
Three rhinos on a rainy riverbank.,rhino,riverbank,rainy,Three
"

A dozen rhinos wading in a muddy river during a heavy rainstorm.",rhino,riverbank,rainy,Multiple
"

A single rhino on the riverbank during a storm.",rhino,riverbank,stormy,Single
Two rhinos at the riverbank during a storm.,rhino,riverbank,stormy,Two
Three rhinos on a riverbank during a storm.,rhino,riverbank,stormy,Three
"

Multiple rhinos at the riverbank during a storm.",rhino,riverbank,stormy,Multiple
"

A single rhino on the riverbank in the fog.",rhino,riverbank,foggy,Single
"

Two rhinos at the riverbank in the fog.",rhino,riverbank,foggy,Two
Three rhinos on a foggy riverbank.,rhino,riverbank,foggy,Three
"

A rhino herd of five in the riverbank shrouded by fog.",rhino,riverbank,foggy,Multiple
"

A single rhino at the riverbank in a windy weather.",rhino,riverbank,windy,Single
Two rhinos at the riverbank in a windy weather.,rhino,riverbank,windy,Two
Three rhinos on a windy riverbank.,rhino,riverbank,windy,Three
"

Multiple rhinos at the riverbank during a windy day.",rhino,riverbank,windy,Multiple
"

A single rhino at the riverbank under clear weather.",rhino,riverbank,clear,Single
Two rhinos at the riverbank under clear weather.,rhino,riverbank,clear,Two
Three rhinos on a riverbank under clear skies.,rhino,riverbank,clear,Three
"

Clear day at the riverbank, multiple rhinos drinking from the water.",rhino,riverbank,clear,Multiple
"

A single rhino on the riverbank during the dry season.",rhino,riverbank,dry season,Single
Two rhinos at the riverbank during the dry season.,rhino,riverbank,dry season,Two
Three rhinos on a riverbank during the dry season.,rhino,riverbank,dry season,Three
"

Multiple rhinos at a riverbank during the dry season.",rhino,riverbank,dry season,Multiple
"

A single rhino standing in a river during the wet season.",rhino,riverbank,wet season,Single
Two rhinos at the riverbank during the wet season.,rhino,riverbank,wet season,Two
Three rhinos on a riverbank during the wet season.,rhino,riverbank,wet season,Three
"

Multiple rhinos at the riverbank during the wet season.",rhino,riverbank,wet season,Multiple
"

A single rhino in the forest under the sunny sky.",rhino,forest,sunny,Single
Two rhinos in a forest under a sunny sky.,rhino,forest,sunny,Two
Three rhinos in a forest on a sunny day.,rhino,forest,sunny,Three
"

A sunny day in the forest, home to several rhinos.",rhino,forest,sunny,Multiple
"

A single rhino in a forest with cloudy weather.",rhino,forest,cloudy,Single
Two rhinos in a forest under cloudy weather.,rhino,forest,cloudy,Two
Three rhinos in a forest under cloudy weather.,rhino,forest,cloudy,Three
"

A rhino herd of ten in a cloudy forest.",rhino,forest,cloudy,Multiple
"

A single rhino in the forest during rainy weather.",rhino,forest,rainy,Single
Two rhinos in a forest during rain.,rhino,forest,rainy,Two
Three rhinos in a forest during rain.,rhino,forest,rainy,Three
"

A dozen rhinos in a forest during a heavy rainstorm.",rhino,forest,rainy,Multiple
"

A single rhino in the forest during a storm.",rhino,forest,stormy,Single
Two rhinos in a forest during a storm.,rhino,forest,stormy,Two
Three rhinos in a forest during a storm.,rhino,forest,stormy,Three
"

A dozen rhinos in a forest during a stormy weather.",rhino,forest,stormy,Multiple
"

A single rhino in the forest shrouded by fog.",rhino,forest,foggy,Single
"

Two rhinos in a forest shrouded in fog.",rhino,forest,foggy,Two
Three rhinos in a forest shrouded in fog.,rhino,forest,foggy,Three
"

A rhino herd of ten in a foggy forest.",rhino,forest,foggy,Multiple
"

A single rhino in a forest with windy weather.",rhino,forest,windy,Single
Two rhinos in a forest with windy weather.,rhino,forest,windy,Two
Three rhinos in a forest with windy weather.,rhino,forest,windy,Three
"

A dozen rhinos in a forest with a windy weather.",rhino,forest,windy,Multiple
"

A single rhino in a clear forest.",rhino,forest,clear,Single
Two rhinos in a forest with clear weather.,rhino,forest,clear,Two
Three rhinos in a forest with clear weather.,rhino,forest,clear,Three
"

Clear day in the forest, ten rhinos grazing near a river.",rhino,forest,clear,Multiple
A single rhino in a forest during the dry season.,rhino,forest,dry season,Single
Two rhinos in a forest during the dry season.,rhino,forest,dry season,Two
Three rhinos in a forest during the dry season.,rhino,forest,dry season,Three
"

A dry forest teems with ten rhinos.",rhino,forest,dry season,Multiple
A single rhino in the forest during the wet season.,rhino,forest,wet season,Single
Two rhinos in a forest during the wet season.,rhino,forest,wet season,Two
Three rhinos in a forest during the wet season.,rhino,forest,wet season,Three
"

A dozen rhinos in a forest during the wet season.",rhino,forest,wet season,Multiple
"

A single rhino in a jungle clearing under the sunny sky.",rhino,jungle clearing,sunny,Single
Two rhinos in a jungle clearing under a sunny sky.,rhino,jungle clearing,sunny,Two
Three rhinos in a jungle clearing under a sunny sky.,rhino,jungle clearing,sunny,Three
"

A sunny jungle clearing filled with the sounds of birds and insects. Six rhinos graze peacefully among the lush vegetation.",rhino,jungle clearing,sunny,Multiple
"

A solitary rhino in a jungle clearing under cloudy skies.",rhino,jungle clearing,cloudy,Single
"

Two rhinos in a jungle clearing under cloudy weather.",rhino,jungle clearing,cloudy,Two
Three rhinos in a jungle clearing under cloudy skies.,rhino,jungle clearing,cloudy,Three
"

A rhino herd of ten in a jungle clearing under cloudy skies.",rhino,jungle clearing,cloudy,Multiple
"

A solitary rhino in a jungle clearing during the rainy season.",rhino,jungle clearing,rainy,Single
Two rhinos in a jungle clearing during rain.,rhino,jungle clearing,rainy,Two
Three rhinos in a jungle clearing during rainfall.,rhino,jungle clearing,rainy,Three
"

A dozen rhinos in a jungle clearing during a heavy rainfall.",rhino,jungle clearing,rainy,Multiple
"

A solitary rhino in a jungle clearing amidst a stormy downpour.",rhino,jungle clearing,stormy,Single
Two rhinos in a jungle clearing during a storm.,rhino,jungle clearing,stormy,Two
Three rhinos in a jungle clearing during a storm.,rhino,jungle clearing,stormy,Three
"

A dozen rhinos in a jungle clearing during a storm.",rhino,jungle clearing,stormy,Multiple
"

A solitary rhino in a jungle clearing, shrouded in fog.",rhino,jungle clearing,foggy,Single
"

Two rhinos in a jungle clearing shrouded in fog.",rhino,jungle clearing,foggy,Two
Three rhinos in a jungle clearing shrouded in fog.,rhino,jungle clearing,foggy,Three
"

A rhino herd of ten in a jungle clearing shrouded by fog.",rhino,jungle clearing,foggy,Multiple
"

A solitary rhino in a jungle clearing amidst windy conditions.",rhino,jungle clearing,windy,Single
"

Two rhinos in a jungle clearing with a windy weather.",rhino,jungle clearing,windy,Two
Three rhinos in a jungle clearing amidst windy weather.,rhino,jungle clearing,windy,Three
"

A rhino herd of ten in a jungle clearing under windy conditions.",rhino,jungle clearing,windy,Multiple
"

A single rhino in a jungle clearing under clear skies.",rhino,jungle clearing,clear,Single
"

Two rhinos in a jungle clearing with clear weather.",rhino,jungle clearing,clear,Two
Three rhinos in a jungle clearing under clear skies.,rhino,jungle clearing,clear,Three
"

Clear jungle clearing, home to several rhinos.",rhino,jungle clearing,clear,Multiple
"

A solitary rhino in a jungle clearing during the dry season.",rhino,jungle clearing,dry season,Single
Two rhinos in a jungle clearing during the dry season.,rhino,jungle clearing,dry season,Two
Three rhinos in a jungle clearing during the dry season.,rhino,jungle clearing,dry season,Three
"

A rhino herd of ten in a jungle clearing during the dry season.",rhino,jungle clearing,dry season,Multiple
"

A solitary rhino in a jungle clearing during the wet season.",rhino,jungle clearing,wet season,Single
Two rhinos in a jungle clearing during the wet season.,rhino,jungle clearing,wet season,Two
Three rhinos in a jungle clearing during the wet season.,rhino,jungle clearing,wet season,Three
"

In a jungle clearing, the sound of raindrops hitting the leaves echoes through the air. Six rhinos graze peacefully amidst the lush greenery. The wet ground reflects the dim sunlight, creating a ser",rhino,jungle clearing,wet season,Multiple
"

A single rhino in the dry plains under the sunny sky.",rhino,dry plains,sunny,Single
Two rhinos in the dry plains under a sunny sky.,rhino,dry plains,sunny,Two
Three rhinos in the arid plains under a sunny sky.,rhino,dry plains,sunny,Three
"

A dozen rhinos roaming the dry plains under the sunny sky.",rhino,dry plains,sunny,Multiple
"

A single rhino in the dry plains under cloudy weather.",rhino,dry plains,cloudy,Single
Two rhinos in the dry plains under cloudy weather.,rhino,dry plains,cloudy,Two
Three rhinos in the arid plains under cloudy skies.,rhino,dry plains,cloudy,Three
"

A rhino herd in the dry plains under overcast skies.",rhino,dry plains,cloudy,Multiple
"

A solitary rhino in the dry plains during a rainy weather.",rhino,dry plains,rainy,Single
Two rhinos in the dry plains during rainy weather.,rhino,dry plains,rainy,Two
Three rhinos in the dry plains under rainy weather.,rhino,dry plains,rainy,Three
"

A dozen rhinos in the dry plains during a rain shower.",rhino,dry plains,rainy,Multiple
A single rhino in the dry plains during a storm.,rhino,dry plains,stormy,Single
Two rhinos in the dry plains during a storm.,rhino,dry plains,stormy,Two
Three rhinos in the arid plains amidst a stormy weather.,rhino,dry plains,stormy,Three
"

Multiple rhinos in the dry plains during a storm.",rhino,dry plains,stormy,Multiple
"

A solitary rhino in the dry plains, surrounded by golden grasses, as fog rolls in, obscuring the horizon.",rhino,dry plains,foggy,Single
Two rhinos in the dry plains under foggy conditions.,rhino,dry plains,foggy,Two
Three rhinos in the dry plains under foggy conditions.,rhino,dry plains,foggy,Three
"

A rhino herd in the dry plains shrouded by fog.",rhino,dry plains,foggy,Multiple
"

A single rhino in the dry plains under windy conditions.",rhino,dry plains,windy,Single
Two rhinos in the dry plains under a windy sky.,rhino,dry plains,windy,Two
Three rhinos in the arid plains under a windy sky.,rhino,dry plains,windy,Three
"

Multiple rhinos in the dry plains under a windy sky.",rhino,dry plains,windy,Multiple
A single rhino in the dry plains under clear skies.,rhino,dry plains,clear,Single
Two rhinos in the dry plains under clear skies.,rhino,dry plains,clear,Two
Three rhinos in the arid plains under clear skies.,rhino,dry plains,clear,Three
"

Multiple rhinos in the dry plains under clear skies.",rhino,dry plains,clear,Multiple
A single rhino in the dry plains during the dry season.,rhino,dry plains,dry season,Single
Two rhinos in the dry plains during the dry season.,rhino,dry plains,dry season,Two
Three rhinos in the arid plains during the dry season.,rhino,dry plains,dry season,Three
"

A herd of ten rhinos in the arid plains under the scorching sun.",rhino,dry plains,dry season,Multiple
A single rhino in the dry plains during the wet season.,rhino,dry plains,wet season,Single
Two rhinos in the dry plains during a wet season.,rhino,dry plains,wet season,Two
Three rhinos in the dry plains during a wet season.,rhino,dry plains,wet season,Three
"

A herd of ten rhinos in the dry plains during the wet season.",rhino,dry plains,wet season,Multiple
"

A single rhino in the wetlands under a sunny sky.",rhino,wetlands,sunny,Single
Two rhinos in a wetland under sunny weather.,rhino,wetlands,sunny,Two
Three rhinos in a wetland under sunny weather.,rhino,wetlands,sunny,Three
"

A sunny day in the wetlands with a herd of ten rhinos.",rhino,wetlands,sunny,Multiple
"

A single rhino in the wetlands under cloudy weather.",rhino,wetlands,cloudy,Single
Two rhinos in a wetland under cloudy weather.,rhino,wetlands,cloudy,Two
Three rhinos in a wetland under cloudy weather.,rhino,wetlands,cloudy,Three
"

A dozen rhinos in a wetlands with an overcast sky.",rhino,wetlands,cloudy,Multiple
A single rhino in the wetlands during rainy weather.,rhino,wetlands,rainy,Single
Two rhinos in a wetland during rain.,rhino,wetlands,rainy,Two
Three rhinos in a wetland during rainfall.,rhino,wetlands,rainy,Three
"

A dozen rhinos in a wetlands reserve during a heavy rainstorm.",rhino,wetlands,rainy,Multiple
A single rhino in the wetlands during a storm.,rhino,wetlands,stormy,Single
Two rhinos in a wetland during a storm.,rhino,wetlands,stormy,Two
Three rhinos in a wetland during a storm.,rhino,wetlands,stormy,Three
"

A dozen rhinos in a wetland during a stormy weather.",rhino,wetlands,stormy,Multiple
"

A solitary rhino wades through the murky wetlands as the landscape is shrouded in fog.",rhino,wetlands,foggy,Single
Two rhinos in a wetland shrouded in fog.,rhino,wetlands,foggy,Two
Three rhinos in a wetland shrouded by fog.,rhino,wetlands,foggy,Three
"

A rhino herd in a foggy wetlands.",rhino,wetlands,foggy,Multiple
"

A single rhino in the wetlands amidst windy weather.",rhino,wetlands,windy,Single
Two rhinos in a wetland amidst windy weather.,rhino,wetlands,windy,Two
Three rhinos in a wetland under windy conditions.,rhino,wetlands,windy,Three
"

A rhino herd in a wetland with windy weather.",rhino,wetlands,windy,Multiple
A single rhino in the wetlands under clear skies.,rhino,wetlands,clear,Single
Two rhinos in a wetland with clear weather.,rhino,wetlands,clear,Two
Three rhinos in a wetland with clear weather.,rhino,wetlands,clear,Three
"

A group of seven rhinos in the wetlands under clear skies.",rhino,wetlands,clear,Multiple
"

A single rhino in the wetlands during the dry season.",rhino,wetlands,dry season,Single
Two rhinos in a wetland during the dry season.,rhino,wetlands,dry season,Two
Three rhinos in a wetland during the dry season.,rhino,wetlands,dry season,Three
"

A group of five rhinos in a wetland during the dry season.",rhino,wetlands,dry season,Multiple
"

A single rhino in the wetlands during the wet season.",rhino,wetlands,wet season,Single
Two rhinos in a wetland during the wet season.,rhino,wetlands,wet season,Two
Three rhinos in a wetlands during the wet season.,rhino,wetlands,wet season,Three
"

Five rhinos wading through a marshy wetlands during the wet season.",rhino,wetlands,wet season,Multiple
"

A single rhino in the bushland under the sunny sky.",rhino,bushland,sunny,Single
Two rhinos in the bushland under a sunny sky.,rhino,bushland,sunny,Two
Three rhinos in the bushland under a sunny sky.,rhino,bushland,sunny,Three
"

A sunny bushland teems with life, including a group of seven rhinos.",rhino,bushland,sunny,Multiple
"

A single rhino in the bushland under cloudy weather.",rhino,bushland,cloudy,Single
Two rhinos in the bushland under cloudy weather.,rhino,bushland,cloudy,Two
Three rhinos in the bushland under cloudy weather.,rhino,bushland,cloudy,Three
"

A rhino herd of ten in the misty bushland.",rhino,bushland,cloudy,Multiple
"

A single rhino in the rainy bushland.",rhino,bushland,rainy,Single
Two rhinos in the rainy bushland.,rhino,bushland,rainy,Two
Three rhinos in the bushland during rain.,rhino,bushland,rainy,Three
"

A dozen rhinos in the rain-soaked bushland.",rhino,bushland,rainy,Multiple
"

A single rhino in the bushland during a storm.",rhino,bushland,stormy,Single
Two rhinos in the bushland during a storm.,rhino,bushland,stormy,Two
Three rhinos in the bushland during a storm.,rhino,bushland,stormy,Three
"

A dozen rhinos in the bushland during a stormy weather.",rhino,bushland,stormy,Multiple
"

A solitary rhino in the foggy bushland.",rhino,bushland,foggy,Single
Two rhinos in the bushland shrouded in fog.,rhino,bushland,foggy,Two
Three rhinos in the bushland shrouded in fog.,rhino,bushland,foggy,Three
"

A rhino herd of ten in the foggy bushland.",rhino,bushland,foggy,Multiple
"

A single rhino in the bushland under windy conditions.",rhino,bushland,windy,Single
Two rhinos in the bushland during a windy day.,rhino,bushland,windy,Two
Three rhinos in the bushland during a windy day.,rhino,bushland,windy,Three
"

A rhino herd of ten in the windy bushland.",rhino,bushland,windy,Multiple
"

A single rhino in the bushland under clear skies.",rhino,bushland,clear,Single
Two rhinos in the bushland under clear skies.,rhino,bushland,clear,Two
Three rhinos in the bushland under clear skies.,rhino,bushland,clear,Three
"

Clear day in the bushland, seven rhinos grazing.",rhino,bushland,clear,Multiple
A single rhino in the bushland during the dry season.,rhino,bushland,dry season,Single
Two rhinos in the bushland during the dry season.,rhino,bushland,dry season,Two
Three rhinos in the bushland during the dry season.,rhino,bushland,dry season,Three
"

A herd of seven rhinos in the arid bushland during the dry season.",rhino,bushland,dry season,Multiple
"

A single rhino in the bushland during the wet season.",rhino,bushland,wet season,Single
Two rhinos in the bushland during the wet season.,rhino,bushland,wet season,Two
Three rhinos in the bushland during the wet season.,rhino,bushland,wet season,Three
"

A dozen rhinos in the bushland during the wet season.",rhino,bushland,wet season,Multiple
A single rhino in the national park under the sunny sky.,rhino,national park,sunny,Single
Two rhinos in a national park under sunny weather.,rhino,national park,sunny,Two
Three rhinos in a national park under sunny weather.,rhino,national park,sunny,Three
"

A sunny day in the national park with a herd of seven rhinos.",rhino,national park,sunny,Multiple
"

A solitary rhino in a national park under cloudy skies.",rhino,national park,cloudy,Single
Two rhinos in a national park under cloudy weather.,rhino,national park,cloudy,Two
Three rhinos in a national park under cloudy weather.,rhino,national park,cloudy,Three
"

A dozen rhinos in a foggy national park.",rhino,national park,cloudy,Multiple
A single rhino in the rainy national park.,rhino,national park,rainy,Single
Two rhinos in a national park during rainy weather.,rhino,national park,rainy,Two
Three rhinos in a national park during rainy weather.,rhino,national park,rainy,Three
"

In a lush national park, ten rhinos wade through muddy waters during a heavy rainstorm.",rhino,national park,rainy,Multiple
A single rhino in the national park during a storm.,rhino,national park,stormy,Single
Two rhinos in a national park during a storm.,rhino,national park,stormy,Two
Three rhinos in a national park during a storm.,rhino,national park,stormy,Three
"

Several rhinos huddled together in the dense foliage of the national park during a stormy day.",rhino,national park,stormy,Multiple
"

A solitary rhino in the foggy national park.",rhino,national park,foggy,Single
Two rhinos in a national park shrouded in fog.,rhino,national park,foggy,Two
Three rhinos in a national park shrouded in fog.,rhino,national park,foggy,Three
"

Foggy national park: Seven rhinos grazing in the mist.",rhino,national park,foggy,Multiple
"

A single rhino in a national park under windy conditions.",rhino,national park,windy,Single
Two rhinos in a national park under windy conditions.,rhino,national park,windy,Two
Three rhinos in a national park under windy conditions.,rhino,national park,windy,Three
